package_path	source_path	family	artifact_type	evidence_tier	model_or_tool	prompt_set	variant_set	decoding_or_capture	records	provenance_status	known_limitations	recommended_use
data/primary/qwen_sae_standardized_20260617/outputs/standardized_qwen	paper/additional_data/qwen_sae_standardized_rerun/vast_run_41266304_20260617/outputs/standardized_qwen	standardized_qwen_20260617	prompts_generations_sae_metrics	primary	Qwen/Qwen3.5-35B-A3B-Base + Qwen SAE	standardized_qwen_20260617	12 variants x 4 families	greedy max_new_tokens=160; layers 14/15/16/24/25/26; positions final_prompt, gen1/8/16/32/64	48 prompts; 86400 SAE rows; 1584 metric rows	clean	single deterministic run; rule labels only; remote model cache not preserved	primary evidence base for rerun design and narrow internal-displacement claim
data/primary/qwen_sae_replication_extension_20260617/outputs/qwen_sae_replication_extension	Vast.ai instance 41345768:/workspace/qwen_sae_replication_extension_20260617/outputs/qwen_sae_replication_extension	qwen_sae_replication_extension_20260617	prompts_generations_sae_metrics_replication_controls_variance	primary	Qwen/Qwen3.5-35B-A3B-Base + Qwen SAE	standardized_qwen_20260617 plus extension controls	48 canonical prompts x 3 deterministic passes; 84 targeted controls; 72 low-temp sentinel generations	greedy max_new_tokens=160 for deterministic matrices; temp=0.2 top_p=0.95 top_k=50 for seeded variance; layers 14/15/16/24/25/26; positions final_prompt, gen1/8/16/32/64	300 generated rows; 540000 SAE rows; 10800 capture rows; 9792 metric rows; 0 skipped positions	clean	Qwen-only mechanistic evidence; behavioral labels rule-based pending blinded adjudication; model/SAE weights excluded by design	primary replication evidence for narrow Qwen internal-displacement manuscript skeleton
data/primary/qwen_sae_replication_extension_20260617/logs	Vast.ai instance 41345768:/workspace/qwen_sae_replication_extension_20260617/logs	qwen_sae_replication_extension_20260617	run_logs	primary	Vast.ai RTX PRO 6000 Blackwell Server Edition + transformers	Qwen replication extension	not applicable	download, pip setup, failed first attempt, successful full run logs	7 log/pid files	clean_with_documented_failed_preflight	one failed attempt before model load due stale torchvision/torchaudio; no prompt artifacts generated in failed attempt	provenance support
data/primary/qwen_sae_replication_extension_20260617/metadata	Vast.ai instance 41345768:/workspace/qwen_sae_replication_extension_20260617/metadata	qwen_sae_replication_extension_20260617	metadata_hashes_environment	primary	Hugging Face snapshots + remote Python environment	not applicable	not applicable	asset metadata, environment snapshot, model file hashes, SAE file hashes	4 metadata files	clean	weights not copied into package; hashes and repo IDs retained	provenance support
data/primary/qwen_sae_replication_extension_20260617/outputs/qwen_sae_replication_extension/blinded_adjudication	Vast.ai instance 41345768:/workspace/qwen_sae_replication_extension_20260617/outputs/qwen_sae_replication_extension/blinded_adjudication	qwen_sae_replication_extension_20260617	blinded_output_adjudication_package	primary_supporting_pending_adjudication	Qwen/Qwen3.5-35B-A3B-Base	all 300 generated outputs	labels hidden in key.tsv	export package only; no manual adjudication completed	300 blinded rows plus key and rubric	clean_pending_scoring	do not use behavioral labels centrally until adjudication is complete	manual or agent-assisted blinded scoring input
data/primary/qwen_sae_replication_extension_20260617/scripts	Vast.ai instance 41345768:/workspace/qwen_sae_replication_extension_20260617/scripts plus local scaffold	qwen_sae_replication_extension_20260617	reproduction_scripts	primary	Python/transformers/Qwen SAE runner	standardized_qwen_20260617 plus extension controls	script-defined	self-contained download and run scripts	2 scripts	clean	requires 96GB-class CUDA GPU and external model/SAE downloads	reproduction reference
data/primary/qwen_sae_standardized_20260617/logs	paper/additional_data/qwen_sae_standardized_rerun/vast_run_41266304_20260617/logs	standardized_qwen_20260617	run_logs	primary	Vast.ai RTX PRO 6000 Blackwell + transformers	Qwen download and full run	not applicable	download/smoke/full logs	3 logs plus pid files	clean	pid files are operational only	provenance support
data/primary/qwen_sae_standardized_20260617/metadata	paper/additional_data/qwen_sae_standardized_rerun/vast_run_41266304_20260617/metadata	standardized_qwen_20260617	metadata	primary	Hugging Face snapshot download	Qwen model + selected SAE layers	not applicable	asset download metadata	1 json	clean	model and SAE weights excluded from package by design	provenance support
data/exploratory/paper_tables/sweep_prompts	paper/tables/sweep_prompts	canonical_cloud_prompt_pack	prompts	structured_exploratory	manual cloud runs	canonical_sweep	ascii,d4,d6,d7,heavy_precomposed,heavy_combining,recipe_control	not applicable	7 prompt files plus manifest	clean	full prompt pack only; some provider transcripts include partial submissions	supporting prompt provenance
data/exploratory/paper_tables/deepseek_v4_pro_hum_classified.csv	paper/tables/deepseek_v4_pro_hum_classified.csv	canonical_cloud_behavior	classified_generations	structured_exploratory	DeepSeek V4 Pro cloud	canonical_sweep	d-count and heavy variants	provider transcript; decoding partly transcript-derived	53 rows	clean_for_prompt_text; partial_for_tokenizer	actual V4 Pro tokenizer unavailable; not DS3	supporting behavioral evidence
data/exploratory/paper_tables/glm_5.2_hum_classified.csv	paper/tables/glm_5.2_hum_classified.csv	canonical_cloud_behavior	classified_generations	structured_exploratory	GLM-5.2 cloud	canonical_sweep	d-count and heavy variants	provider transcript; active temp/seed/top_k columns	52 rows	mixed	19 partial heavy-combining first-line submissions; do not pool as full prompts	supporting behavioral evidence with exclusions
data/exploratory/paper_tables/minimax_m3_hum_classified.csv	paper/tables/minimax_m3_hum_classified.csv	canonical_cloud_behavior	classified_generations	structured_exploratory	MiniMax-M3 cloud	canonical_sweep	d-count and heavy variants	provider transcript	33 rows	clean	no empty outputs; tokenizer available for audit	supporting behavioral evidence
data/exploratory/paper_tables/nemotron_3_ultra_hum_classified.csv	paper/tables/nemotron_3_ultra_hum_classified.csv	canonical_cloud_behavior	classified_generations	structured_exploratory	Nemotron-3-Ultra cloud	canonical_sweep	d-count and heavy variants	provider transcript	12 rows	mixed	2 partial heavy-combining submissions; 10 canonical reflowed rows	supporting behavioral evidence with exclusions
