model_id	listed_by_api	requested_alias	included_by_rule	rule_reason	probe_status	effective_params	response_id	openai_request_id	error
gpt-5-mini	true	true	true	requested_alias	available	"{""reasoning"": {""effort"": ""low""}, ""text"": {""verbosity"": ""low""}}"	resp_032decf53fc15c11006a322279e6d48198a1d105d1d3c52a8e	req_08e7d8733948450eaf6dc19d862ed902	
gpt-5	true	true	true	requested_alias	available	"{""reasoning"": {""effort"": ""low""}, ""text"": {""verbosity"": ""low""}}"	resp_046cefd654eb618c006a32227bb4b08199813f2614c8986750	req_ecbc483ab1a34f0ba631dd8e75f615e7	
gpt-5.1	true	true	true	gpt_5_x_up_to_5_4	available	"{""reasoning"": {""effort"": ""none""}, ""temperature"": 0, ""text"": {""verbosity"": ""low""}}"	resp_0e4dade81ed52a69006a32227cf6e48199862b60a9c0384943	req_0a2b1b3d564d442294265734e5a0cd07	
gpt-5.1-2025-11-13	true	false	true	gpt_5_x_up_to_5_4	available	"{""reasoning"": {""effort"": ""none""}, ""temperature"": 0, ""text"": {""verbosity"": ""low""}}"	resp_024f1994179dde34006a32227de9748198aececf100dc79184	req_9248c8315f9c4a71a5216d82115809a2	
gpt-5.1-chat-latest	true	false	true	gpt_5_x_up_to_5_4	available	{}	resp_0a9dae5d06128696006a32228031f0819bb869ce16172da331	req_a7ae7879e63a4c308f36756a8fb58cee	
gpt-5.1-codex	true	false	true	gpt_5_x_up_to_5_4	available	{}	resp_004d55f3b0394f35006a3222823704819a9e97e4738aabb61e	req_74eba22062ed4df9b32006b61c8bb8e1	
gpt-5.1-codex-max	true	false	false	max_model_excluded	not_probed				
gpt-5.1-codex-mini	true	false	true	gpt_5_x_up_to_5_4	available	{}	resp_0978dfa42ddcbfbd006a32228498d08199bf3461692f8f1052	req_0a1afc29f50a449d8ef49191ce50501c	
gpt-5.2	true	true	true	gpt_5_x_up_to_5_4	available	"{""reasoning"": {""effort"": ""none""}, ""temperature"": 0, ""text"": {""verbosity"": ""low""}}"	resp_057abae5926f429b006a32228557848199a4b4669be606140c	req_1c0ead03d72f42debfa450260701f194	
gpt-5.2-2025-12-11	true	false	true	gpt_5_x_up_to_5_4	available	"{""reasoning"": {""effort"": ""none""}, ""temperature"": 0, ""text"": {""verbosity"": ""low""}}"	resp_083c2d77010dfb9e006a32228620d0819896fb53b42d4b693f	req_d461292b16b5432eb26609013846412f	
gpt-5.2-chat-latest	true	false	true	gpt_5_x_up_to_5_4	available	{}	resp_08b4a0a12fbc7346006a32228862fc819ba6d56b22f3928ee0	req_bd5470738a1d43a2a2888b37fcb3377a	
gpt-5.2-codex	true	false	true	gpt_5_x_up_to_5_4	unavailable_http_0	"{""reasoning"": {""effort"": ""none""}, ""text"": {""verbosity"": ""low""}}"			"{""message"": ""curl: (28) Operation timed out after 240000 milliseconds with 0 bytes received\n"", ""type"": ""curl_error""}"
gpt-5.2-pro	true	false	true	gpt_5_x_up_to_5_4	available	"{""text"": {""verbosity"": ""low""}}"	resp_04e1985be17fe92f006a32237b33588199b3de54d563322d29	req_9fc3afc7df664ff6a8e7521a9170662f	
gpt-5.2-pro-2025-12-11	true	false	true	gpt_5_x_up_to_5_4	available	"{""text"": {""verbosity"": ""low""}}"	resp_0fa02e78fbf8ad82006a32237f8f3c819aa03e1c3b5718bcdd	req_d213d155dea341efafc1401d6eaef840	
gpt-5.3-chat-latest	true	false	true	gpt_5_x_up_to_5_4	available	{}	resp_0643f0457292fd10006a3223851dcc819b8d7649d901a5edab	req_9cf604484ab6471f9406af8a30ac252d	
gpt-5.3-codex	true	false	true	gpt_5_x_up_to_5_4	available	"{""reasoning"": {""effort"": ""none""}, ""temperature"": 0, ""text"": {""verbosity"": ""low""}}"	resp_0a726a280f8e2842006a322386397c819ab64f3d7a17dd112f	req_c2f18ecf10e84f7f817aa697516a3a53	
