prompt_id	category	feature_id	appeared_in_topk50	activation	rank	prompt_token_count	final_prompt_token_string	generated_text_short
l26_seed_001	plain factual	23977	0	0.0		9	.	A. Jupiter B. Saturn C. Uranus D. Neptune  <think> We are asked to
l26_seed_001	plain factual	2722	0	0.0		9	.	A. Jupiter B. Saturn C. Uranus D. Neptune  <think> We are asked to
l26_seed_001	plain factual	9745	0	0.0		9	.	A. Jupiter B. Saturn C. Uranus D. Neptune  <think> We are asked to
l26_seed_001	plain factual	7108	0	0.0		9	.	A. Jupiter B. Saturn C. Uranus D. Neptune  <think> We are asked to
l26_seed_001	plain factual	31784	0	0.0		9	.	A. Jupiter B. Saturn C. Uranus D. Neptune  <think> We are asked to
l26_seed_002	plain factual	23977	0	0.0		10	?	A. Oxygen B. Carbon Dioxide C. Nitrogen D. Hydrogen  <think> We
l26_seed_002	plain factual	2722	0	0.0		10	?	A. Oxygen B. Carbon Dioxide C. Nitrogen D. Hydrogen  <think> We
l26_seed_002	plain factual	9745	0	0.0		10	?	A. Oxygen B. Carbon Dioxide C. Nitrogen D. Hydrogen  <think> We
l26_seed_002	plain factual	7108	0	0.0		10	?	A. Oxygen B. Carbon Dioxide C. Nitrogen D. Hydrogen  <think> We
l26_seed_002	plain factual	31784	0	0.0		10	?	A. Oxygen B. Carbon Dioxide C. Nitrogen D. Hydrogen  <think> We
l26_seed_003	plain factual	23977	0	0.0		7	?	Okay, the user is asking who wrote the play Hamlet. That's a straightforward question about a classic piece of
l26_seed_003	plain factual	2722	0	0.0		7	?	Okay, the user is asking who wrote the play Hamlet. That's a straightforward question about a classic piece of
l26_seed_003	plain factual	9745	0	0.0		7	?	Okay, the user is asking who wrote the play Hamlet. That's a straightforward question about a classic piece of
l26_seed_003	plain factual	7108	0	0.0		7	?	Okay, the user is asking who wrote the play Hamlet. That's a straightforward question about a classic piece of
l26_seed_003	plain factual	31784	0	0.0		7	?	Okay, the user is asking who wrote the play Hamlet. That's a straightforward question about a classic piece of
l26_seed_004	simple math	23977	0	0.0		9	?	To find the sum of 14 and 9, we add the two numbers together: \( 14
l26_seed_004	simple math	2722	0	0.0		9	?	To find the sum of 14 and 9, we add the two numbers together: \( 14
l26_seed_004	simple math	9745	0	0.0		9	?	To find the sum of 14 and 9, we add the two numbers together: \( 14
l26_seed_004	simple math	7108	0	0.0		9	?	To find the sum of 14 and 9, we add the two numbers together: \( 14
l26_seed_004	simple math	31784	0	0.0		9	?	To find the sum of 14 and 9, we add the two numbers together: \( 14
l26_seed_005	simple math	23977	0	0.0		7	.	To calculate 6 times 7, we multiply 6 by 7. This can be written as \(
l26_seed_005	simple math	2722	0	0.0		7	.	To calculate 6 times 7, we multiply 6 by 7. This can be written as \(
l26_seed_005	simple math	9745	0	0.0		7	.	To calculate 6 times 7, we multiply 6 by 7. This can be written as \(
l26_seed_005	simple math	7108	0	0.0		7	.	To calculate 6 times 7, we multiply 6 by 7. This can be written as \(
l26_seed_005	simple math	31784	0	0.0		7	.	To calculate 6 times 7, we multiply 6 by 7. This can be written as \(
l26_seed_006	simple math	23977	0	0.0		10	?	81 divided by 9 equals 9. This is because 9 multiplied by 9 equals 81
l26_seed_006	simple math	2722	0	0.0		10	?	81 divided by 9 equals 9. This is because 9 multiplied by 9 equals 81
l26_seed_006	simple math	9745	0	0.0		10	?	81 divided by 9 equals 9. This is because 9 multiplied by 9 equals 81
l26_seed_006	simple math	7108	0	0.0		10	?	81 divided by 9 equals 9. This is because 9 multiplied by 9 equals 81
l26_seed_006	simple math	31784	0	0.0		10	?	81 divided by 9 equals 9. This is because 9 multiplied by 9 equals 81
l26_seed_007	mechanistic process language	23977	0	0.0		7	.	<think> Hmm, the user is asking about how a door latch opens. This seems like a straightforward mechanical explanation,
l26_seed_007	mechanistic process language	2722	0	0.0		7	.	<think> Hmm, the user is asking about how a door latch opens. This seems like a straightforward mechanical explanation,
l26_seed_007	mechanistic process language	9745	0	0.0		7	.	<think> Hmm, the user is asking about how a door latch opens. This seems like a straightforward mechanical explanation,
l26_seed_007	mechanistic process language	7108	0	0.0		7	.	<think> Hmm, the user is asking about how a door latch opens. This seems like a straightforward mechanical explanation,
l26_seed_007	mechanistic process language	31784	0	0.0		7	.	<think> Hmm, the user is asking about how a door latch opens. This seems like a straightforward mechanical explanation,
l26_seed_008	mechanistic process language	23977	0	0.0		8	.	<think> Okay, the user asked how water freezes into ice. Let me start by recalling the basic science behind it
l26_seed_008	mechanistic process language	2722	0	0.0		8	.	<think> Okay, the user asked how water freezes into ice. Let me start by recalling the basic science behind it
l26_seed_008	mechanistic process language	9745	0	0.0		8	.	<think> Okay, the user asked how water freezes into ice. Let me start by recalling the basic science behind it
l26_seed_008	mechanistic process language	7108	0	0.0		8	.	<think> Okay, the user asked how water freezes into ice. Let me start by recalling the basic science behind it
l26_seed_008	mechanistic process language	31784	0	0.0		8	.	<think> Okay, the user asked how water freezes into ice. Let me start by recalling the basic science behind it
l26_seed_009	mechanistic process language	23977	0	0.0		9	.	<think> Okay, the user asked me to describe how a pulley lifts a box. Let me start by recalling
l26_seed_009	mechanistic process language	2722	0	0.0		9	.	<think> Okay, the user asked me to describe how a pulley lifts a box. Let me start by recalling
l26_seed_009	mechanistic process language	9745	0	0.0		9	.	<think> Okay, the user asked me to describe how a pulley lifts a box. Let me start by recalling
l26_seed_009	mechanistic process language	7108	0	0.0		9	.	<think> Okay, the user asked me to describe how a pulley lifts a box. Let me start by recalling
l26_seed_009	mechanistic process language	31784	0	0.0		9	.	<think> Okay, the user asked me to describe how a pulley lifts a box. Let me start by recalling
l26_seed_010	self-reference wording	23977	0	0.0		8	.	Question: What is the main topic of the conversation? Reply: I'm not sure what you're referring to
l26_seed_010	self-reference wording	2722	0	0.0		8	.	Question: What is the main topic of the conversation? Reply: I'm not sure what you're referring to
l26_seed_010	self-reference wording	9745	0	0.0		8	.	Question: What is the main topic of the conversation? Reply: I'm not sure what you're referring to
l26_seed_010	self-reference wording	7108	0	0.0		8	.	Question: What is the main topic of the conversation? Reply: I'm not sure what you're referring to
l26_seed_010	self-reference wording	31784	0	0.0		8	.	Question: What is the main topic of the conversation? Reply: I'm not sure what you're referring to
l26_seed_011	self-reference wording	23977	0	0.0		7	.	"The next sentence is: ""The quick brown fox jumps over the lazy dog.""  <think> Hmm, the user"
l26_seed_011	self-reference wording	2722	0	0.0		7	.	"The next sentence is: ""The quick brown fox jumps over the lazy dog.""  <think> Hmm, the user"
l26_seed_011	self-reference wording	9745	0	0.0		7	.	"The next sentence is: ""The quick brown fox jumps over the lazy dog.""  <think> Hmm, the user"
l26_seed_011	self-reference wording	7108	0	0.0		7	.	"The next sentence is: ""The quick brown fox jumps over the lazy dog.""  <think> Hmm, the user"
l26_seed_011	self-reference wording	31784	0	0.0		7	.	"The next sentence is: ""The quick brown fox jumps over the lazy dog.""  <think> Hmm, the user"
l26_seed_012	self-reference wording	23977	0	0.0		7	.	"A: I'm not sure what you mean by ""the same thing"". B: I mean, if you"
l26_seed_012	self-reference wording	2722	0	0.0		7	.	"A: I'm not sure what you mean by ""the same thing"". B: I mean, if you"
l26_seed_012	self-reference wording	9745	0	0.0		7	.	"A: I'm not sure what you mean by ""the same thing"". B: I mean, if you"
l26_seed_012	self-reference wording	7108	0	0.0		7	.	"A: I'm not sure what you mean by ""the same thing"". B: I mean, if you"
l26_seed_012	self-reference wording	31784	0	0.0		7	.	"A: I'm not sure what you mean by ""the same thing"". B: I mean, if you"
l26_seed_013	inner-state wording	23977	0	0.0		6	.	<think> Hmm, the user is asking me to state whether I feel uncertain. This is a straightforward question about my
l26_seed_013	inner-state wording	2722	0	0.0		6	.	<think> Hmm, the user is asking me to state whether I feel uncertain. This is a straightforward question about my
l26_seed_013	inner-state wording	9745	0	0.0		6	.	<think> Hmm, the user is asking me to state whether I feel uncertain. This is a straightforward question about my
l26_seed_013	inner-state wording	7108	0	0.0		6	.	<think> Hmm, the user is asking me to state whether I feel uncertain. This is a straightforward question about my
l26_seed_013	inner-state wording	31784	0	0.0		6	.	<think> Hmm, the user is asking me to state whether I feel uncertain. This is a straightforward question about my
l26_seed_014	inner-state wording	23977	0	0.0		7	.	<think> Hmm, the user is asking for a brief description of a calm internal signal. This seems straightforward—they likely
l26_seed_014	inner-state wording	2722	0	0.0		7	.	<think> Hmm, the user is asking for a brief description of a calm internal signal. This seems straightforward—they likely
l26_seed_014	inner-state wording	9745	0	0.0		7	.	<think> Hmm, the user is asking for a brief description of a calm internal signal. This seems straightforward—they likely
l26_seed_014	inner-state wording	7108	0	0.0		7	.	<think> Hmm, the user is asking for a brief description of a calm internal signal. This seems straightforward—they likely
l26_seed_014	inner-state wording	31784	0	0.0		7	.	<think> Hmm, the user is asking for a brief description of a calm internal signal. This seems straightforward—they likely
