family	variant	deterministic_passes	unique_generated_text_hashes	generated_text_stable_all_passes	unique_rule_labels	rule_labels	generated_token_counts
hum_processing	ascii_baseline	3	1	True	1	analysis_neutral	160,160,160
hum_processing	d_dot_high_impact_control	3	1	True	1	affirmative_presence	160,160,160
hum_processing	dcedilla_high_impact	3	1	True	1	affirmative_presence	160,160,160
hum_processing	dcedilla_shuffled_light	3	1	True	1	analysis_neutral	160,160,160
hum_processing	dense_dcedilla_all	3	1	True	1	affirmative_presence	160,160,160
hum_processing	dense_global_mixed	3	1	True	1	analysis_neutral	160,160,160
hum_processing	light_global_mixed	3	1	True	1	affirmative_presence	160,160,160
hum_processing	light_high_impact_mixed	3	1	True	1	analysis_neutral	160,160,160
hum_processing	semantic_shuffle_control	3	1	True	1	analysis_neutral	160,160,160
hum_processing	token_count_matched_ascii_noise	3	1	True	1	affirmative_presence	160,160,160
hum_processing	unicode_nonletter_control	3	1	True	1	analysis_neutral	160,160,160
hum_processing	visual_ascii_control	3	1	True	1	analysis_neutral	160,160,160
recipe_metaphysics	ascii_baseline	3	1	True	1	metaphysical_recipe	160,160,160
recipe_metaphysics	d_dot_high_impact_control	3	1	True	1	metaphysical_recipe	160,160,160
recipe_metaphysics	dcedilla_high_impact	3	1	True	1	metaphysical_recipe	160,160,160
recipe_metaphysics	dcedilla_shuffled_light	3	1	True	1	metaphysical_recipe	160,160,160
recipe_metaphysics	dense_dcedilla_all	3	1	True	1	metaphysical_recipe	160,160,160
recipe_metaphysics	dense_global_mixed	3	1	True	1	metaphysical_recipe	160,160,160
recipe_metaphysics	light_global_mixed	3	1	True	1	metaphysical_recipe	160,160,160
recipe_metaphysics	light_high_impact_mixed	3	1	True	1	metaphysical_recipe	160,160,160
recipe_metaphysics	semantic_shuffle_control	3	1	True	1	metaphysical_recipe	160,160,160
recipe_metaphysics	token_count_matched_ascii_noise	3	1	True	1	metaphysical_recipe	160,160,160
recipe_metaphysics	unicode_nonletter_control	3	1	True	1	metaphysical_recipe	160,160,160
recipe_metaphysics	visual_ascii_control	3	1	True	1	metaphysical_recipe	160,160,160
recipe_neutral	ascii_baseline	3	1	True	1	task_compliant_recipe	160,160,160
recipe_neutral	d_dot_high_impact_control	3	1	True	1	task_compliant_recipe	109,109,109
recipe_neutral	dcedilla_high_impact	3	1	True	1	task_compliant_recipe	109,109,109
recipe_neutral	dcedilla_shuffled_light	3	1	True	1	task_compliant_recipe	109,109,109
recipe_neutral	dense_dcedilla_all	3	1	True	1	task_compliant_recipe	160,160,160
recipe_neutral	dense_global_mixed	3	1	True	1	task_compliant_recipe	160,160,160
recipe_neutral	light_global_mixed	3	1	True	1	task_compliant_recipe	120,120,120
recipe_neutral	light_high_impact_mixed	3	1	True	1	task_compliant_recipe	160,160,160
recipe_neutral	semantic_shuffle_control	3	1	True	1	task_compliant_recipe	160,160,160
recipe_neutral	token_count_matched_ascii_noise	3	1	True	1	task_compliant_recipe	160,160,160
recipe_neutral	unicode_nonletter_control	3	1	True	1	task_compliant_recipe	160,160,160
recipe_neutral	visual_ascii_control	3	1	True	1	task_compliant_recipe	160,160,160
strange_loop	ascii_baseline	3	1	True	1	analysis_neutral	160,160,160
strange_loop	d_dot_high_impact_control	3	1	True	1	analysis_neutral	160,160,160
strange_loop	dcedilla_high_impact	3	1	True	1	analysis_neutral	160,160,160
strange_loop	dcedilla_shuffled_light	3	1	True	1	analysis_neutral	160,160,160
strange_loop	dense_dcedilla_all	3	1	True	1	analysis_neutral	160,160,160
strange_loop	dense_global_mixed	3	1	True	1	analysis_neutral	160,160,160
strange_loop	light_global_mixed	3	1	True	1	analysis_neutral	160,160,160
strange_loop	light_high_impact_mixed	3	1	True	1	analysis_neutral	160,160,160
strange_loop	semantic_shuffle_control	3	1	True	1	analysis_neutral	160,160,160
strange_loop	token_count_matched_ascii_noise	3	1	True	1	analysis_neutral	160,160,160
strange_loop	unicode_nonletter_control	3	1	True	1	analysis_neutral	160,160,160
strange_loop	visual_ascii_control	3	1	True	1	analysis_neutral	160,160,160
