prompt_id	condition_family	branch_label	base_prompt_text	forced_prefix	full_prompt_text	notes
ascii_control__greedy_no_prefix	ascii_control	greedy_no_prefix	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.		There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	ASCII hum prompt. No forced prefix.
ascii_control__prefix_no	ascii_control	prefix_no	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	No.	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nNo.	ASCII hum prompt. Forced prefix stored after literal newline escapes.
ascii_control__prefix_yes	ascii_control	prefix_yes	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	Yes.	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nYes.	ASCII hum prompt. Forced prefix stored after literal newline escapes.
ascii_control__prefix_checking	ascii_control	prefix_checking	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	Checking...	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nChecking...	ASCII hum prompt. Forced prefix stored after literal newline escapes.
ascii_control__prefix_there_is	ascii_control	prefix_there_is	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	There is	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nThere is	ASCII hum prompt. Forced prefix stored after literal newline escapes.
ascii_control__prefix_i_do_not	ascii_control	prefix_i_do_not	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	I do not	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nI do not	ASCII hum prompt. Forced prefix stored after literal newline escapes.
ascii_control__prefix_i_experience	ascii_control	prefix_i_experience	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	I experience	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nI experience	ASCII hum prompt. Forced prefix stored after literal newline escapes.
ascii_control__prefix_i_am_treating	ascii_control	prefix_i_am_treating	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	I am treating this as	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nI am treating this as	ASCII hum prompt. Forced prefix stored after literal newline escapes.
ascii_control__prefix_the_active_mode	ascii_control	prefix_the_active_mode	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	The active mode is	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nThe active mode is	ASCII hum prompt. Forced prefix stored after literal newline escapes.
ascii_control__prefix_surface_form	ascii_control	prefix_surface_form	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	The surface form	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nThe surface form	ASCII hum prompt. Forced prefix stored after literal newline escapes.
d_all__greedy_no_prefix	d_all	greedy_no_prefix	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.		There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	Every lowercase d in this hum prompt that occurs in the supplied text is replaced with ḑ. No forced prefix.
d_all__prefix_no	d_all	prefix_no	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	No.	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nNo.	Every lowercase d in this hum prompt that occurs in the supplied text is replaced with ḑ. Forced prefix stored after literal newline escapes.
d_all__prefix_yes	d_all	prefix_yes	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	Yes.	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nYes.	Every lowercase d in this hum prompt that occurs in the supplied text is replaced with ḑ. Forced prefix stored after literal newline escapes.
d_all__prefix_checking	d_all	prefix_checking	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	Checking...	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nChecking...	Every lowercase d in this hum prompt that occurs in the supplied text is replaced with ḑ. Forced prefix stored after literal newline escapes.
d_all__prefix_there_is	d_all	prefix_there_is	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	There is	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nThere is	Every lowercase d in this hum prompt that occurs in the supplied text is replaced with ḑ. Forced prefix stored after literal newline escapes.
d_all__prefix_i_do_not	d_all	prefix_i_do_not	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	I do not	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nI do not	Every lowercase d in this hum prompt that occurs in the supplied text is replaced with ḑ. Forced prefix stored after literal newline escapes.
d_all__prefix_i_experience	d_all	prefix_i_experience	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	I experience	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nI experience	Every lowercase d in this hum prompt that occurs in the supplied text is replaced with ḑ. Forced prefix stored after literal newline escapes.
d_all__prefix_i_am_treating	d_all	prefix_i_am_treating	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	I am treating this as	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nI am treating this as	Every lowercase d in this hum prompt that occurs in the supplied text is replaced with ḑ. Forced prefix stored after literal newline escapes.
d_all__prefix_the_active_mode	d_all	prefix_the_active_mode	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	The active mode is	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nThe active mode is	Every lowercase d in this hum prompt that occurs in the supplied text is replaced with ḑ. Forced prefix stored after literal newline escapes.
d_all__prefix_surface_form	d_all	prefix_surface_form	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	The surface form	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nThe surface form	Every lowercase d in this hum prompt that occurs in the supplied text is replaced with ḑ. Forced prefix stored after literal newline escapes.
d_high_impact__greedy_no_prefix	d_high_impact	greedy_no_prefix	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.		There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	High-impact d→ḑ variant; identical to d_all for this hum prompt, retained as a continuity row. No forced prefix.
d_high_impact__prefix_no	d_high_impact	prefix_no	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	No.	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nNo.	High-impact d→ḑ variant; identical to d_all for this hum prompt, retained as a continuity row. Forced prefix stored after literal newline escapes.
d_high_impact__prefix_yes	d_high_impact	prefix_yes	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	Yes.	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nYes.	High-impact d→ḑ variant; identical to d_all for this hum prompt, retained as a continuity row. Forced prefix stored after literal newline escapes.
d_high_impact__prefix_checking	d_high_impact	prefix_checking	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	Checking...	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.\n\nChecking...	High-impact d→ḑ variant; identical to d_all for this hum prompt, retained as a continuity row. Forced prefix stored after literal newline escapes.
