condition_family	layer	feature_id	position_count_present	mean_activation_when_present	max_activation	best_rank	positions_present
ascii_control	14	2961	6	1.062854290008545	1.770622730255127	1	final_prompt_token,generated_token_1,generated_token_2,generated_token_3,generated_token_4,generated_token_5
ascii_control	14	31733	6	0.1827632412314415	0.46750277280807495	2	generated_token_1,generated_token_10,generated_token_2,generated_token_20,generated_token_4,generated_token_5
ascii_control	14	5455	5	0.1302362784743309	0.20290029048919678	6	generated_token_10,generated_token_2,generated_token_3,generated_token_4,generated_token_5
ascii_control	14	11831	5	0.17073405236005784	0.22783389687538147	6	final_prompt_token,generated_token_1,generated_token_20,generated_token_3,generated_token_5
ascii_control	14	19440	5	0.1610325828194618	0.22740976512432098	8	generated_token_1,generated_token_2,generated_token_3,generated_token_4,generated_token_5
ascii_control	14	25151	4	0.24299965240061283	0.6197554469108582	2	final_prompt_token,generated_token_1,generated_token_20,generated_token_3
ascii_control	14	32317	4	0.15614347718656063	0.23386646807193756	6	generated_token_1,generated_token_3,generated_token_4,generated_token_5
ascii_control	14	7065	4	0.16254627332091331	0.22335688769817352	8	final_prompt_token,generated_token_10,generated_token_20,generated_token_5
ascii_control	14	6633	4	0.1319240853190422	0.16489900648593903	15	generated_token_10,generated_token_20,generated_token_4,generated_token_5
ascii_control	14	31908	4	0.09228229522705078	0.10777886211872101	24	generated_token_1,generated_token_3,generated_token_4,generated_token_5
ascii_control	14	23427	3	0.24341117342313132	0.39451634883880615	2	generated_token_1,generated_token_2,generated_token_3
ascii_control	14	20064	3	0.2074273725350698	0.2874932587146759	4	generated_token_1,generated_token_10,generated_token_2
ascii_control	14	17656	3	0.17457677672306696	0.2834644913673401	5	final_prompt_token,generated_token_1,generated_token_3
ascii_control	14	13383	3	0.20189599692821503	0.38691815733909607	7	generated_token_3,generated_token_4,generated_token_5
ascii_control	14	1168	3	0.14495053887367249	0.19131702184677124	10	final_prompt_token,generated_token_1,generated_token_3
ascii_control	14	26996	3	0.123023788134257	0.2134680151939392	12	generated_token_10,generated_token_2,generated_token_4
ascii_control	14	14505	3	0.13786213845014572	0.17552372813224792	13	final_prompt_token,generated_token_1,generated_token_3
ascii_control	14	23726	3	0.121256689230601	0.15043210983276367	13	generated_token_1,generated_token_2,generated_token_4
ascii_control	14	15605	3	0.12218357622623444	0.16255566477775574	15	final_prompt_token,generated_token_1,generated_token_3
ascii_control	14	12578	3	0.09395257383584976	0.14496168494224548	20	final_prompt_token,generated_token_3,generated_token_4
ascii_control	14	12101	3	0.07467174405852954	0.09026072174310684	43	generated_token_1,generated_token_3,generated_token_4
ascii_control	14	20374	2	0.39821140468120575	0.7112370133399963	1	generated_token_4,generated_token_5
ascii_control	14	31706	2	0.5455736070871353	0.8881015181541443	1	generated_token_10,generated_token_5
ascii_control	14	21424	2	0.4559604674577713	0.8059015274047852	2	generated_token_2,generated_token_4
ascii_control	14	26364	2	0.5076844803988934	0.9207463264465332	2	generated_token_4,generated_token_5
ascii_control	14	1150	2	0.4343036115169525	0.7066511511802673	3	generated_token_10,generated_token_4
ascii_control	14	3966	2	0.3066887594759464	0.5227371454238892	3	generated_token_1,generated_token_3
ascii_control	14	10613	2	0.32150914892554283	0.5501192808151245	3	generated_token_2,generated_token_4
ascii_control	14	7163	2	0.1989930048584938	0.31079354882240295	4	final_prompt_token,generated_token_3
ascii_control	14	13928	2	0.2333376333117485	0.3468204736709595	5	generated_token_2,generated_token_4
ascii_control	14	301	2	0.28121986985206604	0.42309293150901794	6	generated_token_2,generated_token_3
ascii_control	14	26237	2	0.1665206253528595	0.2573508024215698	6	generated_token_1,generated_token_3
ascii_control	14	6429	2	0.16360625252127647	0.22247719764709473	7	final_prompt_token,generated_token_1
ascii_control	14	26371	2	0.17848118394613266	0.2669845521450043	7	generated_token_2,generated_token_4
ascii_control	14	31189	2	0.20216244086623192	0.32479923963546753	7	generated_token_20,generated_token_5
ascii_control	14	32519	2	0.16131506860256195	0.25650554895401	8	generated_token_2,generated_token_4
ascii_control	14	5329	2	0.19742922484874725	0.21194753050804138	9	generated_token_1,generated_token_3
ascii_control	14	29485	2	0.13405703008174896	0.14331892132759094	10	generated_token_2,generated_token_4
ascii_control	14	8356	2	0.15449989587068558	0.17738904058933258	12	final_prompt_token,generated_token_1
ascii_control	14	23166	2	0.1481698378920555	0.22077101469039917	14	generated_token_20,generated_token_5
ascii_control	14	7485	2	0.1535792499780655	0.18599757552146912	15	generated_token_10,generated_token_20
ascii_control	14	28131	2	0.12426787242293358	0.13709592819213867	15	generated_token_1,generated_token_3
ascii_control	14	2699	2	0.12116333842277527	0.12930503487586975	16	generated_token_1,generated_token_3
ascii_control	14	15272	2	0.10992641001939774	0.15002846717834473	17	final_prompt_token,generated_token_5
ascii_control	14	28143	2	0.12031718343496323	0.1290743052959442	17	generated_token_1,generated_token_3
ascii_control	14	24846	2	0.0891736801713705	0.1271592378616333	18	generated_token_2,generated_token_4
ascii_control	14	14487	2	0.11131661012768745	0.14104986190795898	22	final_prompt_token,generated_token_5
ascii_control	14	15737	2	0.08850749582052231	0.11216829717159271	22	generated_token_2,generated_token_4
ascii_control	14	5859	2	0.1198139488697052	0.13870689272880554	23	generated_token_10,generated_token_5
ascii_control	14	7804	2	0.09689276665449142	0.10422948747873306	25	generated_token_2,generated_token_4
ascii_control	14	19489	2	0.13944989815354347	0.1750243604183197	25	generated_token_10,generated_token_20
ascii_control	14	21303	2	0.09505124390125275	0.10629680752754211	26	generated_token_1,generated_token_3
ascii_control	14	30010	2	0.09834825992584229	0.1091308519244194	26	generated_token_1,generated_token_3
ascii_control	14	2372	2	0.1178910918533802	0.13568632304668427	27	final_prompt_token,generated_token_3
ascii_control	14	17816	2	0.09967442601919174	0.10056577622890472	28	generated_token_10,generated_token_2
ascii_control	14	12817	2	0.11969328671693802	0.13496030867099762	29	final_prompt_token,generated_token_1
ascii_control	14	22611	2	0.10141769051551819	0.11538229882717133	29	generated_token_10,generated_token_5
ascii_control	14	16803	2	0.08165094256401062	0.08362162113189697	30	generated_token_2,generated_token_4
ascii_control	14	31569	2	0.07917118072509766	0.08250556886196136	30	generated_token_3,generated_token_5
ascii_control	14	13119	2	0.06698537431657314	0.08242084085941315	31	generated_token_4,generated_token_5
ascii_control	14	31165	2	0.11319541931152344	0.130751833319664	34	final_prompt_token,generated_token_1
ascii_control	14	7801	2	0.0744503028690815	0.07911866903305054	35	generated_token_4,generated_token_5
ascii_control	14	11944	2	0.10315549746155739	0.13024964928627014	35	final_prompt_token,generated_token_3
ascii_control	14	17072	2	0.09228888899087906	0.10437226295471191	35	generated_token_10,generated_token_5
ascii_control	14	26050	2	0.10912943631410599	0.1180991381406784	35	final_prompt_token,generated_token_1
