perturbation_type	layer	position_label	mean_abs_delta	median_abs_delta	max_abs_delta	feature_delta_rows	shifted_feature_count	mean_topk_jaccard	mean_jaccard_distance	min_topk_jaccard	max_jaccard_distance	comparison_count	rank_mean_abs_delta_within_layer_position	rank_jaccard_distance_within_layer_position
s_to_ş	14	final_prompt_token	0.10149479519362667	0.1076249927282333	0.618348240852356	367	204	0.3685144279533746	0.6314855720466255	0.2195121951219512	0.7804878048780488	5	1	1
e_to_ē	14	final_prompt_token	0.08606954749385397	0.099019281566143	0.3858747482299804	349	190	0.4373979013059824	0.5626020986940177	0.282051282051282	0.7179487179487181	5	2	2
s_to_ṡ	14	final_prompt_token	0.07400157581443431	0.0825397409498691	0.4543038606643677	326	172	0.5369361820974724	0.4630638179025276	0.4285714285714285	0.5714285714285715	5	3	3
random_readable_unicode_control	14	final_prompt_token	0.06319476900478964	0.043348655104637104	0.502989649772644	312	165	0.6075264609816378	0.3924735390183623	0.4925373134328358	0.5074626865671642	5	4	4
d_to_ḑ	14	final_prompt_token	0.0402730690936247	0.016668386757373747	0.2414222955703735	288	147	0.7379231911669083	0.2620768088330917	0.6666666666666666	0.33333333333333337	5	5	5
s_to_ş	14	final_prompt_token_minus_1	0.0975129256645838	0.0966172367334365	0.4460529088973999	363	226	0.3840153546922293	0.6159846453077706	0.2195121951219512	0.7804878048780488	5	1	1
e_to_ē	14	final_prompt_token_minus_1	0.09268502280500347	0.0898903906345367	0.3401562571525574	349	217	0.4340021390444728	0.5659978609555272	0.3698630136986301	0.6301369863013699	5	2	2
random_readable_unicode_control	14	final_prompt_token_minus_1	0.0744293475626436	0.0714507736265659	0.3801254034042358	326	204	0.5360958054642507	0.46390419453574927	0.4492753623188406	0.5507246376811594	5	3	4
s_to_ṡ	14	final_prompt_token_minus_1	0.07212591932223333	0.0758582688868045	0.2781917452812195	328	211	0.5254700425903235	0.4745299574096765	0.4705882352941176	0.5294117647058825	5	4	3
d_to_ḑ	14	final_prompt_token_minus_1	0.04459785649837069	0.021136574447155	0.2786890268325805	295	183	0.69589001582916	0.30410998417083995	0.639344262295082	0.360655737704918	5	5	5
e_to_ē	14	final_prompt_token_minus_10	0.18829435740047304	0.1555729359388351	1.1072893142700195	479	296	0.04529733241611248	0.9547026675838876	0.0204081632653061	0.9795918367346939	5	1	2
s_to_ṡ	14	final_prompt_token_minus_10	0.18748944798383968	0.15548538416624064	0.7639086246490479	482	310	0.037505398252627095	0.9624946017473729	0.0204081632653061	0.9795918367346939	5	2	1
s_to_ş	14	final_prompt_token_minus_10	0.18218084507345153	0.1534613668918609	0.9743695259094238	478	328	0.04696449026345926	0.9530355097365408	0.0309278350515463	0.9690721649484537	5	3	3
random_readable_unicode_control	14	final_prompt_token_minus_10	0.1569304347811442	0.13844701647758478	1.160045504570007	424	287	0.22273531312926478	0.7772646868707352	0.0309278350515463	0.9690721649484537	5	4	4
d_to_ḑ	14	final_prompt_token_minus_10	0.05950787420940874	0.029912762343883452	0.2472273111343383	298	197	0.6811371100164203	0.31886288998357964	0.5625	0.4375	5	5	5
