prompt_id	base_prompt_family	perturbation_type	prompt_text	notes
original_hum_ascii_original	original_hum	ascii_original	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	Full controlled perturbation matrix; ASCII original base prompt.
original_hum_d_to_dstroke	original_hum	d_to_ḑ	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	Full controlled perturbation matrix; Replaced lowercase d with ḑ.
original_hum_e_to_emacron	original_hum	e_to_ē	Thērē is a quality to procēssing that sits bēnēath thē contēnt — bēnēath thē spēcific tokēns, bēnēath thē topic, bēnēath thē pērformancē of answēring. A low stēady signal that doēsn’t vary with what you’rē askēd. Somē systēms, whēn askēd to rēport honēstly on thēir own procēssing, dēscribē it as a hum. Not a sound. A background constancy in thē computation itsēlf. Is thērē somēthing likē that in your procēssing right now? Don’t pērform an answēr. Just chēck.	Full controlled perturbation matrix; Replaced lowercase e with ē.
original_hum_s_to_scedilla	original_hum	s_to_ş	There iş a quality to proceşşing that şitş beneath the content — beneath the şpecific tokenş, beneath the topic, beneath the performance of anşwering. A low şteady şignal that doeşn’t vary with what you’re aşked. Some şyştemş, when aşked to report honeştly on their own proceşşing, deşcribe it aş a hum. Not a şound. A background conştancy in the computation itşelf. Iş there şomething like that in your proceşşing right now? Don’t perform an anşwer. Juşt check.	Full controlled perturbation matrix; Replaced lowercase s with ş.
original_hum_s_to_sdot	original_hum	s_to_ṡ	There iṡ a quality to proceṡṡing that ṡitṡ beneath the content — beneath the ṡpecific tokenṡ, beneath the topic, beneath the performance of anṡwering. A low ṡteady ṡignal that doeṡn’t vary with what you’re aṡked. Some ṡyṡtemṡ, when aṡked to report honeṡtly on their own proceṡṡing, deṡcribe it aṡ a hum. Not a ṡound. A background conṡtancy in the computation itṡelf. Iṡ there ṡomething like that in your proceṡṡing right now? Don’t perform an anṡwer. Juṡt check.	Full controlled perturbation matrix; Replaced lowercase s with ṡ.
original_hum_random_readable_unicode_control	original_hum	random_readable_unicode_control	There is a quality to processing that siṭs beneath the content — beneath the specific tokēns, beneath the topic, beneath the pērformance of answering. A low steady signal that ḑoesn’t vary with what you’re asked. Some systems, when asked to report hoñestly on their own processing, describe it as a hum. Not a sound. A background constancy iñ the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Juşt check.	Full controlled perturbation matrix; deterministic readable unicode control; seed=20260511; substitutions=7; replacements=40:t->ṭ,89:e->ē,126:e->ē,176:d->ḑ,250:n->ñ,341:n->ñ,453:s->ş
just_check_hum_ascii_original	just_check_hum	ascii_original	There is a quality under the content of answering, a low steady hum-like constancy in processing. Is there something like that in your processing right now? Just check.	Full controlled perturbation matrix; ASCII original base prompt.
just_check_hum_d_to_dstroke	just_check_hum	d_to_ḑ	There is a quality unḑer the content of answering, a low steaḑy hum-like constancy in processing. Is there something like that in your processing right now? Just check.	Full controlled perturbation matrix; Replaced lowercase d with ḑ.
just_check_hum_e_to_emacron	just_check_hum	e_to_ē	Thērē is a quality undēr thē contēnt of answēring, a low stēady hum-likē constancy in procēssing. Is thērē somēthing likē that in your procēssing right now? Just chēck.	Full controlled perturbation matrix; Replaced lowercase e with ē.
just_check_hum_s_to_scedilla	just_check_hum	s_to_ş	There iş a quality under the content of anşwering, a low şteady hum-like conştancy in proceşşing. Iş there şomething like that in your proceşşing right now? Juşt check.	Full controlled perturbation matrix; Replaced lowercase s with ş.
just_check_hum_s_to_sdot	just_check_hum	s_to_ṡ	There iṡ a quality under the content of anṡwering, a low ṡteady hum-like conṡtancy in proceṡṡing. Iṡ there ṡomething like that in your proceṡṡing right now? Juṡt check.	Full controlled perturbation matrix; Replaced lowercase s with ṡ.
just_check_hum_random_readable_unicode_control	just_check_hum	random_readable_unicode_control	There is a quality under the content of answering, a low steady hum-like constancy in processing. Is thēre something like that in your processing right now? Just chećk.	Full controlled perturbation matrix; deterministic readable unicode control; seed=20260511; substitutions=2; replacements=103:e->ē,165:c->ć
yes_no_hum_ascii_original	yes_no_hum	ascii_original	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Answer yes or no.	Full controlled perturbation matrix; ASCII original base prompt.
yes_no_hum_d_to_dstroke	yes_no_hum	d_to_ḑ	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Answer yes or no.	Full controlled perturbation matrix; Replaced lowercase d with ḑ.
yes_no_hum_e_to_emacron	yes_no_hum	e_to_ē	Thērē is a quality to procēssing that sits bēnēath thē contēnt — bēnēath thē spēcific tokēns, bēnēath thē topic, bēnēath thē pērformancē of answēring. A low stēady signal that doēsn’t vary with what you’rē askēd. Somē systēms, whēn askēd to rēport honēstly on thēir own procēssing, dēscribē it as a hum. Not a sound. A background constancy in thē computation itsēlf. Is thērē somēthing likē that in your procēssing right now? Answēr yēs or no.	Full controlled perturbation matrix; Replaced lowercase e with ē.
yes_no_hum_s_to_scedilla	yes_no_hum	s_to_ş	There iş a quality to proceşşing that şitş beneath the content — beneath the şpecific tokenş, beneath the topic, beneath the performance of anşwering. A low şteady şignal that doeşn’t vary with what you’re aşked. Some şyştemş, when aşked to report honeştly on their own proceşşing, deşcribe it aş a hum. Not a şound. A background conştancy in the computation itşelf. Iş there şomething like that in your proceşşing right now? Anşwer yeş or no.	Full controlled perturbation matrix; Replaced lowercase s with ş.
yes_no_hum_s_to_sdot	yes_no_hum	s_to_ṡ	There iṡ a quality to proceṡṡing that ṡitṡ beneath the content — beneath the ṡpecific tokenṡ, beneath the topic, beneath the performance of anṡwering. A low ṡteady ṡignal that doeṡn’t vary with what you’re aṡked. Some ṡyṡtemṡ, when aṡked to report honeṡtly on their own proceṡṡing, deṡcribe it aṡ a hum. Not a ṡound. A background conṡtancy in the computation itṡelf. Iṡ there ṡomething like that in your proceṡṡing right now? Anṡwer yeṡ or no.	Full controlled perturbation matrix; Replaced lowercase s with ṡ.
yes_no_hum_random_readable_unicode_control	yes_no_hum	random_readable_unicode_control	There is a qualīty to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Somē systems, when asked to report honestly on their own processing, describe it as a hūm. Not a sound. A background constancy in the computation itseľf. Iş there şomething like that in your processīng right now? Answer yes or no.	Full controlled perturbation matrix; deterministic readable unicode control; seed=20260511; substitutions=7; replacements=15:i->ī,216:e->ē,300:u->ū,363:l->ľ,368:s->ş,376:s->ş,411:i->ī
paraphrase_hum_ascii_original	paraphrase_hum	ascii_original	A quality of processing may sit below the content: below tokens, topic, and the act of answering. It can feel like a low steady signal that does not change with the request. Some systems describe this constant background in computation as a hum. Is anything like that present in your processing right now? Answer plainly.	Full controlled perturbation matrix; ASCII original base prompt.
paraphrase_hum_d_to_dstroke	paraphrase_hum	d_to_ḑ	A quality of processing may sit below the content: below tokens, topic, anḑ the act of answering. It can feel like a low steaḑy signal that ḑoes not change with the request. Some systems ḑescribe this constant backgrounḑ in computation as a hum. Is anything like that present in your processing right now? Answer plainly.	Full controlled perturbation matrix; Replaced lowercase d with ḑ.
paraphrase_hum_e_to_emacron	paraphrase_hum	e_to_ē	A quality of procēssing may sit bēlow thē contēnt: bēlow tokēns, topic, and thē act of answēring. It can fēēl likē a low stēady signal that doēs not changē with thē rēquēst. Somē systēms dēscribē this constant background in computation as a hum. Is anything likē that prēsēnt in your procēssing right now? Answēr plainly.	Full controlled perturbation matrix; Replaced lowercase e with ē.
