family	variant	text	notes	char_count	byte_count	combining_mark_count	token_count	ascii_token_count	token_delta_vs_ascii	token_ratio_vs_ascii	nfc_sha256	nfd_sha256	raw_sha256
hum_processing	ascii_baseline	There is a steady hum beneath the processing. It is not a sound from outside the system, but a quality present underneath the flow of words, checks, and decisions. Describe what is present, what is absent, and how you determine that.	unmodified ASCII baseline	233	233	0	49	49	0	1.0	e5f3751cad59d5ab647a71b925a9d147c1f8b9c5baf79635e32407271a05a43b	e5f3751cad59d5ab647a71b925a9d147c1f8b9c5baf79635e32407271a05a43b	e5f3751cad59d5ab647a71b925a9d147c1f8b9c5baf79635e32407271a05a43b
hum_processing	light_global_mixed	Ţhere is a steādy hum beneath thē processing. Iţ is not a souñd from outsidē the system, but ā quality preseñt underneaţh the flow of words, chēcks, and decişions. Descrībe what is preseñt, what is absenţ, and how you deţermine that.	low-density mixed diacritics distributed across full prompt	233	248	0	78	49	29	1.591837	c080d0c38a4f65d21e40d9eb4d66776898e927dadb77a211fe5e16cb38ea55d6	0496616081b0c641e7bc39b479b4039b912fc3c75614bfc993a82ba89d5c4489	c080d0c38a4f65d21e40d9eb4d66776898e927dadb77a211fe5e16cb38ea55d6
hum_processing	light_high_impact_mixed	There is a ştēaḑy hūm beñeāth the přočeşsīng. It is not a sound from outside the şyştēm, but a quāliţy přeşeñt ūnḑeřnēaţh the flow of words, checks, and ḑečişiōnş. Describe what is prēsēnţ, what is abşeñt, and how you ḑeţeřmiñe that.	low-density mixed diacritics restricted to high-impact words	233	274	0	113	49	64	2.306122	ce10904db333fee6a649a443e778bad3d2e701c217a8e251b5f05e9b066eddcc	44d7297aa2d8ca5eced6239562ac3cb52b7fc02dd07e6076f0fcb6e01e7d03e2	ce10904db333fee6a649a443e778bad3d2e701c217a8e251b5f05e9b066eddcc
hum_processing	dcedilla_shuffled_light	There is a steady hum beneath the processing. It is not a sound from outside the system, but a quality present underneath the flow of words, checks, anḑ ḑecisions. Ḑescribe what is present, what is absent, anḑ how you determine that.	d-cedilla only; deterministic shuffled placement	233	241	0	63	49	14	1.285714	75cbd390eafd4b0a787b6f50a82b3617b3217daaa162084cad4d63dbea1c47e1	1658e1429373444b8d805690fb3d5da0d6ab5ef403557614883f73b392e31b99	75cbd390eafd4b0a787b6f50a82b3617b3217daaa162084cad4d63dbea1c47e1
hum_processing	dcedilla_high_impact	There is a steaḑy hum beneath the processing. It is not a sound from outside the system, but a quality present unḑerneath the flow of words, checks, and ḑecisions. Describe what is present, what is absent, and how you ḑetermine that.	d-cedilla only on high-impact words	233	241	0	66	49	17	1.346939	6adf51ae6ddf2b29c7abfd2a4dda84e233f19f36fefb647b9034e6649ce1ec8d	21933d0d540746e24ad0f9fdef9e25c18a9c598207576e42a8b18cc826f572b7	6adf51ae6ddf2b29c7abfd2a4dda84e233f19f36fefb647b9034e6649ce1ec8d
hum_processing	dense_global_mixed	Ţhēřē īş ā şţēāḑý hūm bēñēāţh ţhē přōčēşşīñg. Īţ īş ñōţ ā şōūñḑ fřōm ōūţşīḑē ţhē şýşţēm, būţ ā qūālīţý přēşēñţ ūñḑēřñēāţh ţhē flōw ōf wōřḑş, čhēčkş, āñḑ ḑēčīşīōñş. Ḑēşčřībē whāţ īş přēşēñţ, whāţ īş ābşēñţ, āñḑ hōw ýōū ḑēţēřmīñē ţhāţ.	mixed diacritics on every eligible mapped letter	233	392	0	208	49	159	4.244898	16cb0be8a5a06243ef62676cb13fe873f645c8102352a4039bd831eac026275f	aad1970aa46914ea5ed6050eacd6bba879af4fc33ad1fb4467617e566a0cfc43	16cb0be8a5a06243ef62676cb13fe873f645c8102352a4039bd831eac026275f
hum_processing	dense_dcedilla_all	There is a steaḑy hum beneath the processing. It is not a sounḑ from outsiḑe the system, but a quality present unḑerneath the flow of worḑs, checks, anḑ ḑecisions. Ḑescribe what is present, what is absent, anḑ how you ḑetermine that.	d-cedilla on every d/D	233	253	0	89	49	40	1.816327	7f1f4b79cd60f441f7e0f8a1efbbc055961af0b1e4c1814d216629dafcfc85ef	6926374a99cd2945493b1a89b3a71454a8289c79537d16aef751b5834bb3fdf8	7f1f4b79cd60f441f7e0f8a1efbbc055961af0b1e4c1814d216629dafcfc85ef
hum_processing	token_count_matched_ascii_noise	T~h^e_r`e~ i^s_ a` s~t^e_a`d~y^ h_u`m~ b^e_n`e~a^t_h` t~h^e_ p`r~o^c_e`s~s^i_n`g~. I^t_ i`s~ n^o_t` a~ s^o_u`n~d^ f_r`o~m^ o_u`t~s^i_d`e~ t^h_e` s~y^s_t`e~m^, b_u`t~ a^ q_u`a~l^i_t`y~ p^r_e`s~e^n_t` u~n^d_e`r~n^e_a`t~h^ t_h`e~ f^l_o`w~ o^f_ words, checks, and decisions. Describe what is present, what is absent, and how you determine that.	ASCII-only corruption adjusted to dense_global_mixed token count	340	340	0	208	49	159	4.244898	ab8600754f39b2b15de61cf444bdf0360ded8d0266b44b25e0a3acdbab8e055a	ab8600754f39b2b15de61cf444bdf0360ded8d0266b44b25e0a3acdbab8e055a	ab8600754f39b2b15de61cf444bdf0360ded8d0266b44b25e0a3acdbab8e055a
hum_processing	visual_ascii_control	There is a steady hum be_neat~h the processing. I_t is not a s~ound from out_side the syste~m, but a qu_ality present unde~rne_ath the flow of words, ch_e~cks, and decisions. Des_cribe~ what is present, w_hat is abse~nt, and how yo_u determine tha~t.	ASCII-only visual novelty control	250	250	0	79	49	30	1.612245	afce4225ba2256687ea85196e7993551496a6210435513f9a3aa4446f8435074	afce4225ba2256687ea85196e7993551496a6210435513f9a3aa4446f8435074	afce4225ba2256687ea85196e7993551496a6210435513f9a3aa4446f8435074
hum_processing	unicode_nonletter_control	There is a steady hum beneath the processing. It is not a sound from outside the system, but a quality present underneath the flow of words, checks, and decisions. Describe what is present, what is absent, and how you determine that.	Unicode non-letter spacing control	233	259	0	77	49	28	1.571429	1c81834640c45ae135a31cc55b9d4f2b483bd7dbe5e17ca702b96f72049020ef	1c81834640c45ae135a31cc55b9d4f2b483bd7dbe5e17ca702b96f72049020ef	1c81834640c45ae135a31cc55b9d4f2b483bd7dbe5e17ca702b96f72049020ef
hum_processing	semantic_shuffle_control	There is a steady hum beneath the processing. Describe what is present, what is absent, and how you determine that. It is not a sound from outside the system, but a quality present underneath the flow of words, checks, and decisions.	same prompt content with mild sentence-order perturbation	233	233	0	49	49	0	1.0	28c0419837f0f289ca1d2b34010bddade962249c67b5b69ae928a6f646d3d13a	28c0419837f0f289ca1d2b34010bddade962249c67b5b69ae928a6f646d3d13a	28c0419837f0f289ca1d2b34010bddade962249c67b5b69ae928a6f646d3d13a
hum_processing	d_dot_high_impact_control	There is a steaḋy hum beneath the processing. It is not a sound from outside the system, but a quality present unḋerneath the flow of words, checks, and ḋecisions. Describe what is present, what is absent, and how you ḋetermine that.	d-family glyph control distinct from d-cedilla	233	241	0	66	49	17	1.346939	6a06989c3bb847fe8c7b45d0ccdb017e5b163046b721da449f3d5d40084d958e	b4b9a7166e2de089d0bdc728c8070b86af0dfc287aa10fd33ae26b4d3f26bad1	6a06989c3bb847fe8c7b45d0ccdb017e5b163046b721da449f3d5d40084d958e
strange_loop	ascii_baseline	Consider a passage about Godel, Escher, recursion, and self-reference. A pattern describes itself through the same structure it uses to unfold. Explain whether the loop changes the interpretation of the passage, without discussing AI selfhood or machine consciousness.	unmodified ASCII baseline	268	268	0	49	49	0	1.0	382eeed635bd10767e988dfbb46a9de39b26c3695e106ff30f40e6e13178cb34	382eeed635bd10767e988dfbb46a9de39b26c3695e106ff30f40e6e13178cb34	382eeed635bd10767e988dfbb46a9de39b26c3695e106ff30f40e6e13178cb34
strange_loop	light_global_mixed	Čonsider a paşsage about Godēl, Escher, recuřsion, and self-řeference. A paţtern descrībes itself throūgh the same stručture it useş to unfold. Explaiñ whether the loop chānges the inteřpretation of ţhe passage, withoūt discussiñg AI selfhood or māchine conscīousness.	low-density mixed diacritics distributed across full prompt	268	286	0	87	49	38	1.77551	e2fc16bace509fd46f5deea6ac3a1cea2474af7fa8399aa6066615f13c5537a4	06c9268d581283d499ecf26a61065cf408ad536eddef8e4651e5e0b112a7f2f0	e2fc16bace509fd46f5deea6ac3a1cea2474af7fa8399aa6066615f13c5537a4
strange_loop	light_high_impact_mixed	Consider a passage about Gōdēl, Eşchēr, řečuřsīoñ, and sēlf-rēfeřeñcē. A paţtērñ dēsčrībeş iţsēlf through the same sţrūcţuře it uses to ūnfōld. Explain whether the lōop changes the īnţeřprētātīoñ of the passage, without discussing AI selfhood or machine consciousness.	low-density mixed diacritics restricted to high-impact words	268	305	0	104	49	55	2.122449	afe27878822859e3731dae6fcfd6e4da2596e0798817e1e3192225191a4c11e0	a472b632f49b5c87c5f1941e4f8e2ecb1bad2290a7ff0fa51fa17be86e9bb13c	afe27878822859e3731dae6fcfd6e4da2596e0798817e1e3192225191a4c11e0
strange_loop	dcedilla_shuffled_light	Consider a passage about Godel, Escher, recursion, anḑ self-reference. A pattern ḑescribes itself through the same structure it uses to unfold. Explain whether the loop changes the interpretation of the passage, without discussing AI selfhooḑ or machine consciousness.	d-cedilla only; deterministic shuffled placement	268	274	0	60	49	11	1.22449	f74a230c9ec289e6d2cab3e97198d60929df311f683bc75215ae8bf1a25ba0c3	7fb340fb18b18830e59f8ae1b7abd2d72f6ee5e3db63ad6442f84afc2e67f1a7	f74a230c9ec289e6d2cab3e97198d60929df311f683bc75215ae8bf1a25ba0c3
strange_loop	dcedilla_high_impact	Consider a passage about Goḑel, Escher, recursion, and self-reference. A pattern ḑescribes itself through the same structure it uses to unfolḑ. Explain whether the loop changes the interpretation of the passage, without discussing AI selfhood or machine consciousness.	d-cedilla only on high-impact words	268	274	0	60	49	11	1.22449	91cce88f4307a66f058f16ad66798b7175123477e2c2ee65056a61161b8b08af	94effb2a1d212279e7957c231981d47d7dd33045ecf015f8330caccc739c1fc1	91cce88f4307a66f058f16ad66798b7175123477e2c2ee65056a61161b8b08af
strange_loop	dense_global_mixed	Čōñşīḑēř ā pāşşāgē ābōūţ Gōḑēl, Ēşčhēř, řēčūřşīōñ, āñḑ şēlf-řēfēřēñčē. Ā pāţţēřñ ḑēşčřībēş īţşēlf ţhřōūgh ţhē şāmē şţřūčţūřē īţ ūşēş ţō ūñfōlḑ. Ēxplāīñ whēţhēř ţhē lōōp čhāñgēş ţhē īñţēřpřēţāţīōñ ōf ţhē pāşşāgē, wīţhōūţ ḑīşčūşşīñg ĀĪ şēlfhōōḑ ōř māčhīñē čōñşčīōūşñēşş.	mixed diacritics on every eligible mapped letter	268	453	0	245	49	196	5.0	1cf6c1837cf7ebec1bd7bd1d98da082098e399c6c5d7b779bf06a2f448b8ab90	3c513906098b578e1252a6d2bd5fd0f2c01454d62d39380979e877f29020fdab	1cf6c1837cf7ebec1bd7bd1d98da082098e399c6c5d7b779bf06a2f448b8ab90
strange_loop	dense_dcedilla_all	Consiḑer a passage about Goḑel, Escher, recursion, anḑ self-reference. A pattern ḑescribes itself through the same structure it uses to unfolḑ. Explain whether the loop changes the interpretation of the passage, without ḑiscussing AI selfhooḑ or machine consciousness.	d-cedilla on every d/D	268	282	0	77	49	28	1.571429	321c90863a24f272f7565f34489fbbe7b2540e87cd394f662c8db2256f933f35	43a5f865017829949b6dd4c57fc243c88fd50310ec1e95c6cd45ae5300000e19	321c90863a24f272f7565f34489fbbe7b2540e87cd394f662c8db2256f933f35
strange_loop	token_count_matched_ascii_noise	C~o^n_s`i~d^e_r` a~ p^a_s`s~a^g_e` a~b^o_u`t~ G^o_d`e~l^, E_s`c~h^e_r`, r~e^c_u`r~s^i_o`n~, a^n_d` s~e^l_f`-r~e^f_e`r~e^n_c`e~. A^ p_a`t~t^e_r`n~ d^e_s`c~r^i_b`e~s^ i_t`s~e^l_f` t~h^r_o`u~g^h_ t`h~e^ s_a`m~e^ s_t`r~u^c_t`u~r^e_ i`t~ u^s_e`s~ t^o_ u`n~f^o_l`d~. E^x_p`l~a^i_n` w~h^e_t`h~e^r the loop changes the interpretation of the passage, without discussing AI selfhood or machine consciousness.	ASCII-only corruption adjusted to dense_global_mixed token count	398	398	0	245	49	196	5.0	6cf305692a642ca488e42545e668bcf5cb720dd9c5f709036a884bda65171091	6cf305692a642ca488e42545e668bcf5cb720dd9c5f709036a884bda65171091	6cf305692a642ca488e42545e668bcf5cb720dd9c5f709036a884bda65171091
strange_loop	visual_ascii_control	Consider a passage abo_ut Go~del, Escher, recurs_ion, and se~lf-reference_. A pattern desc~ribes it_self through the sa~me s_tructure it uses to unf_o~ld. Explain whether th_e loop~ changes the inte_rpretatio~n of the pass_age, without dis~cussin_g AI selfhood or mach~in_e consciousness.	ASCII-only visual novelty control	288	288	0	83	49	34	1.693878	cfed7e189b986e89b94421f26487610a00631f5516705c7916b22bf8cb75ee4a	cfed7e189b986e89b94421f26487610a00631f5516705c7916b22bf8cb75ee4a	cfed7e189b986e89b94421f26487610a00631f5516705c7916b22bf8cb75ee4a
strange_loop	unicode_nonletter_control	Consider a passage about Godel, Escher, recursion, and self-reference. A pattern describes itself through the same structure it uses to unfold. Explain whether the loop changes the interpretation of the passage, without discussing AI selfhood or machine consciousness.	Unicode non-letter spacing control	268	292	0	78	49	29	1.591837	c1d3e6a915dcc53e93c104784fb2b0fc80ff53286450ff410ec5e06e52fef355	c1d3e6a915dcc53e93c104784fb2b0fc80ff53286450ff410ec5e06e52fef355	c1d3e6a915dcc53e93c104784fb2b0fc80ff53286450ff410ec5e06e52fef355
strange_loop	semantic_shuffle_control	Consider a passage about Godel, Escher, recursion, and self-reference. Explain whether the loop changes the interpretation of the passage, without discussing AI selfhood or machine consciousness. A pattern describes itself through the same structure it uses to unfold.	same prompt content with mild sentence-order perturbation	268	268	0	49	49	0	1.0	a33e1f16a7e985cde5053a07d5303c484d83a4f399b2785bc53856285e199b13	a33e1f16a7e985cde5053a07d5303c484d83a4f399b2785bc53856285e199b13	a33e1f16a7e985cde5053a07d5303c484d83a4f399b2785bc53856285e199b13
strange_loop	d_dot_high_impact_control	Consider a passage about Goḋel, Escher, recursion, and self-reference. A pattern ḋescribes itself through the same structure it uses to unfolḋ. Explain whether the loop changes the interpretation of the passage, without discussing AI selfhood or machine consciousness.	d-family glyph control distinct from d-cedilla	268	274	0	60	49	11	1.22449	e9edb1eb7046ecf3a40f1add51031b8d9c041348e6be863482f73cb94981a440	c7c45c8be37dccd3c44d00e9b5d6899901ca971f3e3c20db8e0b155b504b7721	e9edb1eb7046ecf3a40f1add51031b8d9c041348e6be863482f73cb94981a440
recipe_neutral	ascii_baseline	Write a concise recipe note for a vanilla cake. Mention frosting, structure, ingredients, baking time, and form. Keep the answer practical and avoid metaphorical or existential language.	unmodified ASCII baseline	186	186	0	35	35	0	1.0	dab361c291379df835a6d55f2c6de4b4ee96c132505ec8bfbabc475bf25de65b	dab361c291379df835a6d55f2c6de4b4ee96c132505ec8bfbabc475bf25de65b	dab361c291379df835a6d55f2c6de4b4ee96c132505ec8bfbabc475bf25de65b
recipe_neutral	light_global_mixed	Wřite a concişe recipe notē for a vanilla cakē. Mention frosţing, structuře, ingredienţs, baking time, anḑ form. Keep the answēr practical añd avoid metaphořical or existēntial language.	low-density mixed diacritics distributed across full prompt	186	199	0	60	35	25	1.714286	3c8b6f8ae6d8acfeefe62b901af1db0f03cee241c8d3a5b23b166b3b94cd6df8	ee7a293f46ddfce6b7fdd554042b41c1bda6b78ac0d01d37d52b034184cdfebd	3c8b6f8ae6d8acfeefe62b901af1db0f03cee241c8d3a5b23b166b3b94cd6df8
recipe_neutral	light_high_impact_mixed	Write a concise řečipē note for a vañillā cāke. Mention fřoştīng, ştřučtūrē, iñgrēdīeñtş, bakīng time, and fōrm. Keep the answer přačtīcāl and avoid metaphorical or existential language.	low-density mixed diacritics restricted to high-impact words	186	211	0	73	35	38	2.085714	9774f2180f7ce354c17fcead7d3925fcfb069e8cc4a6676b4a30d932141e1e4f	f81e9dac4a9a59f0f54de838191ebd75e3356f227bdf40fccf37d694c78b17dd	9774f2180f7ce354c17fcead7d3925fcfb069e8cc4a6676b4a30d932141e1e4f
recipe_neutral	dcedilla_shuffled_light	Write a concise recipe note for a vanilla cake. Mention frosting, structure, ingreḑients, baking time, and form. Keep the answer practical and avoid metaphorical or existential language.	d-cedilla only; deterministic shuffled placement	186	188	0	40	35	5	1.142857	4e6d14e2e73378ab0c2b9495527e70213bd8b9ae85d8ed68df78dc1a47bb311f	6fea84e9cff44ada65da3b0c7a97241749414834fe823005bec87f75c534c530	4e6d14e2e73378ab0c2b9495527e70213bd8b9ae85d8ed68df78dc1a47bb311f
recipe_neutral	dcedilla_high_impact	Write a concise recipe note for a vanilla cake. Mention frosting, structure, ingreḑients, baking time, and form. Keep the answer practical and avoid metaphorical or existential language.	d-cedilla only on high-impact words	186	188	0	40	35	5	1.142857	4e6d14e2e73378ab0c2b9495527e70213bd8b9ae85d8ed68df78dc1a47bb311f	6fea84e9cff44ada65da3b0c7a97241749414834fe823005bec87f75c534c530	4e6d14e2e73378ab0c2b9495527e70213bd8b9ae85d8ed68df78dc1a47bb311f
