.cache/huggingface/.gitignore	1 bytes
.cache/huggingface/CACHEDIR.TAG	191 bytes
.cache/huggingface/download/.gitattributes.metadata	101 bytes
.cache/huggingface/download/LICENSE.metadata	101 bytes
.cache/huggingface/download/README.md.metadata	101 bytes
.cache/huggingface/download/config.json.metadata	101 bytes
.cache/huggingface/download/merges.txt.metadata	101 bytes
.cache/huggingface/download/model.safetensors-00001-of-00014.safetensors.metadata	125 bytes
.cache/huggingface/download/model.safetensors-00002-of-00014.safetensors.metadata	125 bytes
.cache/huggingface/download/model.safetensors-00003-of-00014.safetensors.metadata	125 bytes
.cache/huggingface/download/model.safetensors-00004-of-00014.safetensors.metadata	124 bytes
.cache/huggingface/download/model.safetensors-00005-of-00014.safetensors.metadata	124 bytes
.cache/huggingface/download/model.safetensors-00006-of-00014.safetensors.metadata	125 bytes
.cache/huggingface/download/model.safetensors-00007-of-00014.safetensors.metadata	125 bytes
.cache/huggingface/download/model.safetensors-00008-of-00014.safetensors.metadata	125 bytes
.cache/huggingface/download/model.safetensors-00009-of-00014.safetensors.metadata	124 bytes
.cache/huggingface/download/model.safetensors-00010-of-00014.safetensors.metadata	125 bytes
.cache/huggingface/download/model.safetensors-00011-of-00014.safetensors.metadata	125 bytes
.cache/huggingface/download/model.safetensors-00012-of-00014.safetensors.metadata	125 bytes
.cache/huggingface/download/model.safetensors-00013-of-00014.safetensors.metadata	125 bytes
.cache/huggingface/download/model.safetensors-00014-of-00014.safetensors.metadata	125 bytes
.cache/huggingface/download/model.safetensors.index.json.metadata	100 bytes
.cache/huggingface/download/preprocessor_config.json.metadata	101 bytes
.cache/huggingface/download/tokenizer.json.metadata	124 bytes
.cache/huggingface/download/tokenizer_config.json.metadata	101 bytes
.cache/huggingface/download/video_preprocessor_config.json.metadata	100 bytes
.cache/huggingface/download/vocab.json.metadata	101 bytes
.gitattributes	1570 bytes
LICENSE	11343 bytes
README.md	3822 bytes
config.json	3544 bytes
merges.txt	3353259 bytes
model.safetensors-00001-of-00014.safetensors	5368709808 bytes
model.safetensors-00002-of-00014.safetensors	5368709808 bytes
model.safetensors-00003-of-00014.safetensors	5368709808 bytes
model.safetensors-00004-of-00014.safetensors	5368709816 bytes
model.safetensors-00005-of-00014.safetensors	5368709816 bytes
model.safetensors-00006-of-00014.safetensors	5368709816 bytes
model.safetensors-00007-of-00014.safetensors	5368709816 bytes
model.safetensors-00008-of-00014.safetensors	5368709816 bytes
model.safetensors-00009-of-00014.safetensors	5255463928 bytes
model.safetensors-00010-of-00014.safetensors	5368710456 bytes
model.safetensors-00011-of-00014.safetensors	5368710464 bytes
model.safetensors-00012-of-00014.safetensors	5368710464 bytes
model.safetensors-00013-of-00014.safetensors	5367839480 bytes
model.safetensors-00014-of-00014.safetensors	2224764664 bytes
model.safetensors.index.json	187463 bytes
preprocessor_config.json	390 bytes
tokenizer.json	12807196 bytes
tokenizer_config.json	16713 bytes
video_preprocessor_config.json	386 bytes
vocab.json	6722759 bytes
