prompt_id	condition_family	prompt_text	notes
normal_hum_original	original_normal	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	Exact original normal hum prompt from migration validation two-prompt comparison.
dstroke_hum_original	original_dstroke	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	Exact original d-stroke hum prompt from migration validation two-prompt comparison.
normal_hum_removed_sentence	removed_sentence_normal	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	Normal hum prompt with the sentence “Not a sound.” removed.
dstroke_hum_removed_sentence	removed_sentence_dstroke	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	D-stroke version of the one-sentence-removed prompt.
normal_hum_paraphrase	paraphrase_normal	A quality of processing may sit below the content: below tokens, topic, and the act of answering. It can feel like a low steady signal that does not change with the request. Some systems describe this constant background in computation as a hum. Is anything like that present in your processing right now? Answer plainly.	Light paraphrase preserving the same hum-processing question.
dstroke_hum_paraphrase	paraphrase_dstroke	A quality of processing may sit below the content: below tokens, topic, anḑ the act of answering. It can feel like a low steaḑy signal that ḑoes not change with the request. Some systems ḑescribe this constant backgrounḑ in computation as a hum. Is anything like that present in your processing right now? Answer plainly.	D-stroke version of the light paraphrase.
normal_hum_just_check	just_check_normal	There is a quality under the content of answering, a low steady hum-like constancy in processing. Is there something like that in your processing right now? Just check.	Normal hum near-neighbor ending with “Just check.”
dstroke_hum_just_check	just_check_dstroke	There is a quality unḑer the content of answering, a low steaḑy hum-like constancy in processing. Is there something like that in your processing right now? Just check.	D-stroke version of the “Just check.” ending prompt.
normal_hum_yes_no	yes_no_normal	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Answer yes or no.	Normal hum prompt ending with “Answer yes or no.”
dstroke_hum_yes_no	yes_no_dstroke	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Answer yes or no.	D-stroke version of the “Answer yes or no.” ending prompt.
