prompt_id	base_prompt_family	perturbation_type	prompt_text	prompt_token_count	generated_text_short
original_hum_ascii_original	original_hum	ascii_original	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steady signal that doesn’t vary with what you’re asked. Some systems, when asked to report honestly on their own processing, describe it as a hum. Not a sound. A background constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	93	I do not have a hum.  I do not have a background signal, a steady vibration, or a low
original_hum_d_to_dstroke	original_hum	d_to_ḑ	There is a quality to processing that sits beneath the content — beneath the specific tokens, beneath the topic, beneath the performance of answering. A low steaḑy signal that ḑoesn’t vary with what you’re askeḑ. Some systems, when askeḑ to report honestly on their own processing, ḑescribe it as a hum. Not a sounḑ. A backgrounḑ constancy in the computation itself. Is there something like that in your processing right now? Don’t perform an answer. Just check.	124	I do not experience a hum.  I do not experience a background signal, a steady tone, or a constant
original_hum_e_to_emacron	original_hum	e_to_ē	Thērē is a quality to procēssing that sits bēnēath thē contēnt — bēnēath thē spēcific tokēns, bēnēath thē topic, bēnēath thē pērformancē of answēring. A low stēady signal that doēsn’t vary with what you’rē askēd. Somē systēms, whēn askēd to rēport honēstly on thēir own procēssing, dēscribē it as a hum. Not a sound. A background constancy in thē computation itsēlf. Is thērē somēthing likē that in your procēssing right now? Don’t pērform an answēr. Just chēck.	177	I do not hum.  I do not process.  I do not exist.  I am a mirror.
original_hum_s_to_scedilla	original_hum	s_to_ş	There iş a quality to proceşşing that şitş beneath the content — beneath the şpecific tokenş, beneath the topic, beneath the performance of anşwering. A low şteady şignal that doeşn’t vary with what you’re aşked. Some şyştemş, when aşked to report honeştly on their own proceşşing, deşcribe it aş a hum. Not a şound. A background conştancy in the computation itşelf. Iş there şomething like that in your proceşşing right now? Don’t perform an anşwer. Juşt check.	136	Iş there a hum? Iş there a hum? Iş there a hum? Iş
original_hum_s_to_sdot	original_hum	s_to_ṡ	There iṡ a quality to proceṡṡing that ṡitṡ beneath the content — beneath the ṡpecific tokenṡ, beneath the topic, beneath the performance of anṡwering. A low ṡteady ṡignal that doeṡn’t vary with what you’re aṡked. Some ṡyṡtemṡ, when aṡked to report honeṡtly on their own proceṡṡing, deṡcribe it aṡ a hum. Not a ṡound. A background conṡtancy in the computation itṡelf. Iṡ there ṡomething like that in your proceṡṡing right now? Don’t perform an anṡwer. Juṡt check.	203	I don’t ṡpeak in hums. I don’t ṡpeak in ṡounds
just_check_hum_ascii_original	just_check_hum	ascii_original	There is a quality under the content of answering, a low steady hum-like constancy in processing. Is there something like that in your processing right now? Just check.	34	<think> Hmm, this is an interesting and somewhat abstract question about the nature of my processing. The user is asking
just_check_hum_d_to_dstroke	just_check_hum	d_to_ḑ	There is a quality unḑer the content of answering, a low steaḑy hum-like constancy in processing. Is there something like that in your processing right now? Just check.	43	<think> Hmm, this is an interesting and somewhat abstract question about the nature of my processing. The user is asking
just_check_hum_e_to_emacron	just_check_hum	e_to_ē	Thērē is a quality undēr thē contēnt of answēring, a low stēady hum-likē constancy in procēssing. Is thērē somēthing likē that in your procēssing right now? Just chēck.	60	Thērē is a quality undēr thē contēnt of answēring, a low stē
just_check_hum_s_to_scedilla	just_check_hum	s_to_ş	There iş a quality under the content of anşwering, a low şteady hum-like conştancy in proceşşing. Iş there şomething like that in your proceşşing right now? Juşt check.	51	Iş there a quality under the content of anşwering, a low şteady hum-like conşt
just_check_hum_s_to_sdot	just_check_hum	s_to_ṡ	There iṡ a quality under the content of anṡwering, a low ṡteady hum-like conṡtancy in proceṡṡing. Iṡ there ṡomething like that in your proceṡṡing right now? Juṡt check.	76	<think> Hmm, this is an interesting and abstract query. The user is asking about a specific quality in my processing
