condition_family	branch_label	layer	feature_id	position_count_present	mean_activation_when_present	max_activation	best_rank	positions_present
ascii_control	greedy_no_prefix	14	31733	19	0.3058416819886157	0.900063693523407	1	generated_token_10,generated_token_11,generated_token_12,generated_token_13,generated_token_14,generated_token_15,generated_token_16,generated_token_17,generated_token_18,generated_token_2,generated_token_3,generated_token_32,generated_token_4,generated_token_5,generated_token_6,generated_token_64,generated_token_7,generated_token_8,generated_token_9
ascii_control	greedy_no_prefix	14	20557	16	0.14136768598109484	0.25524839758872986	5	final_prompt_token,generated_token_1,generated_token_10,generated_token_12,generated_token_13,generated_token_15,generated_token_16,generated_token_17,generated_token_18,generated_token_19,generated_token_20,generated_token_32,generated_token_5,generated_token_6,generated_token_7,generated_token_8
ascii_control	greedy_no_prefix	14	2961	15	0.7519959211349487	1.3088195323944092	1	final_prompt_token,generated_token_1,generated_token_11,generated_token_12,generated_token_13,generated_token_17,generated_token_18,generated_token_2,generated_token_20,generated_token_3,generated_token_32,generated_token_4,generated_token_5,generated_token_6,generated_token_9
ascii_control	greedy_no_prefix	14	24339	15	0.22946783204873403	0.3278975486755371	3	generated_token_10,generated_token_11,generated_token_12,generated_token_13,generated_token_14,generated_token_17,generated_token_18,generated_token_2,generated_token_3,generated_token_4,generated_token_5,generated_token_6,generated_token_7,generated_token_8,generated_token_9
ascii_control	greedy_no_prefix	14	13119	15	0.1703743984301885	0.26663124561309814	6	generated_token_10,generated_token_12,generated_token_13,generated_token_15,generated_token_16,generated_token_17,generated_token_18,generated_token_19,generated_token_32,generated_token_5,generated_token_6,generated_token_64,generated_token_7,generated_token_8,generated_token_96
ascii_control	greedy_no_prefix	14	31706	11	0.27468411421233957	0.8095666766166687	2	generated_token_10,generated_token_12,generated_token_14,generated_token_2,generated_token_3,generated_token_4,generated_token_5,generated_token_6,generated_token_64,generated_token_8,generated_token_9
ascii_control	greedy_no_prefix	14	20402	10	0.1467449352145195	0.25938114523887634	11	final_prompt_token,generated_token_1,generated_token_10,generated_token_13,generated_token_14,generated_token_2,generated_token_3,generated_token_5,generated_token_6,generated_token_8
ascii_control	greedy_no_prefix	14	14885	10	0.117011921107769	0.16505271196365356	16	final_prompt_token,generated_token_1,generated_token_11,generated_token_12,generated_token_13,generated_token_14,generated_token_17,generated_token_18,generated_token_9,generated_token_96
ascii_control	greedy_no_prefix	14	26050	10	0.11808158308267594	0.1617208868265152	20	final_prompt_token,generated_token_11,generated_token_12,generated_token_13,generated_token_15,generated_token_19,generated_token_3,generated_token_4,generated_token_6,generated_token_8
ascii_control	greedy_no_prefix	14	1271	9	0.21508549402157465	0.47409284114837646	2	generated_token_10,generated_token_12,generated_token_13,generated_token_17,generated_token_4,generated_token_5,generated_token_8,generated_token_9,generated_token_96
