distinction_rank	feature_id	consistent_distinction_flag	handled_control_count	handled_controls_observed	handled_controls_with_presence_shift	handled_controls_with_large_abs_delta	family_count_with_any_row	family_count_with_presence_shift	families_observed	position_count_with_any_row	position_count_with_presence_shift	positions_observed	comparison_rows	mean_abs_delta	max_abs_delta	mean_signed_delta	presence_shift_count	ascii_only_count	perturbation_only_count	both_present_count	large_abs_delta_count
1	0	0	2	e_to_ē,s_to_ş	2	2	1	1	yes_no_hum	1	1	final_prompt_token_minus_5	2	0.1691462397575378	0.1691462397575378	-0.1691462397575378	2	2	0	0	2
2	17	1	2	e_to_ē,s_to_ş	2	2	3	3	just_check_hum,original_hum,removed_sentence_hum	2	2	final_prompt_token_minus_1,final_prompt_token_minus_2	7	0.12379556042807438	0.1820037961006164	-0.07417098964963638	5	4	1	2	5
3	75	1	2	e_to_ē,s_to_ş	2	2	4	4	just_check_hum,original_hum,removed_sentence_hum,yes_no_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_5	6	0.3002838517228762	0.3567695617675781	-0.17165424178044	6	4	2	0	6
4	124	0	2	e_to_ē,s_to_ş	1	1	1	1	yes_no_hum	3	1	final_prompt_token,final_prompt_token_minus_1,final_prompt_token_minus_2	6	0.0695497021079063	0.1691097766160965	-0.0695497021079063	1	1	0	5	1
5	234	1	2	e_to_ē,s_to_ş	2	2	2	2	original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_5	4	0.151113212108612	0.1520086228847503	-0.151113212108612	4	4	0	0	4
6	271	1	2	e_to_ē,s_to_ş	2	2	4	4	original_hum,paraphrase_hum,removed_sentence_hum,yes_no_hum	2	2	final_prompt_token_minus_2,final_prompt_token_minus_5	5	0.2301583468914032	0.3420334160327911	0.1692885398864746	4	1	3	1	4
7	343	0	2	e_to_ē,s_to_ş	0	2	1	0	yes_no_hum	1	0	final_prompt_token_minus_2	2	0.16273018717765805	0.1744711101055145	-0.16273018717765805	0	0	0	2	2
8	380	1	2	e_to_ē,s_to_ş	2	2	2	2	original_hum,removed_sentence_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_5	6	0.2085686723391215	0.286210298538208	-0.02529406547546385	6	4	2	0	6
9	399	0	1	s_to_ş	1	1	2	2	original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_5	2	0.21608747541904444	0.2162377536296844	0.21608747541904444	2	0	2	0	2
10	405	0	1	e_to_ē	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_10	1	0.1381168663501739	0.1381168663501739	0.1381168663501739	1	0	1	0	1
11	428	1	2	e_to_ē,s_to_ş	2	2	2	2	original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_10	4	0.27095170319080353	0.3040961623191833	-0.27095170319080353	4	4	0	0	4
12	471	0	1	s_to_ş	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_10	1	0.1660859882831573	0.1660859882831573	0.1660859882831573	1	0	1	0	1
13	478	0	2	e_to_ē,s_to_ş	2	2	1	1	paraphrase_hum	1	1	final_prompt_token_minus_5	2	0.2025828659534454	0.2025828659534454	-0.2025828659534454	2	2	0	0	2
14	512	0	1	e_to_ē	1	1	1	1	yes_no_hum	1	1	final_prompt_token_minus_1	1	0.1668312847614288	0.1668312847614288	0.1668312847614288	1	0	1	0	1
15	522	0	1	s_to_ş	1	1	1	1	paraphrase_hum	1	1	final_prompt_token_minus_10	1	0.1722847074270248	0.1722847074270248	0.1722847074270248	1	0	1	0	1
16	528	0	1	s_to_ş	1	1	1	1	just_check_hum	1	1	final_prompt_token	1	0.177544355392456	0.177544355392456	0.177544355392456	1	0	1	0	1
17	576	0	1	s_to_ş	1	1	1	1	paraphrase_hum	1	1	final_prompt_token_minus_5	1	0.2065824419260025	0.2065824419260025	0.2065824419260025	1	0	1	0	1
18	599	0	2	e_to_ē,s_to_ş	2	2	3	1	original_hum,paraphrase_hum,removed_sentence_hum	1	1	final_prompt_token	6	0.09432499855756753	0.1719380170106887	-0.09432499855756753	2	2	0	4	2
19	605	0	2	e_to_ē,s_to_ş	2	2	1	1	yes_no_hum	1	1	final_prompt_token_minus_1	2	0.167793333530426	0.167793333530426	-0.167793333530426	2	2	0	0	2
20	633	0	1	s_to_ş	1	1	1	1	yes_no_hum	1	1	final_prompt_token	1	0.1681815087795257	0.1681815087795257	0.1681815087795257	1	0	1	0	1
21	677	1	2	e_to_ē,s_to_ş	2	2	5	3	just_check_hum,original_hum,paraphrase_hum,removed_sentence_hum,yes_no_hum	2	1	final_prompt_token_minus_10,final_prompt_token_minus_5	9	0.2923743360572391	0.5422979593276978	-0.2045366863409678	5	4	1	4	6
22	701	0	2	e_to_ē,s_to_ş	2	2	1	1	paraphrase_hum	1	1	final_prompt_token_minus_10	2	0.2794904112815857	0.2794904112815857	-0.2794904112815857	2	2	0	0	2
23	704	1	2	e_to_ē,s_to_ş	2	2	5	5	just_check_hum,original_hum,paraphrase_hum,removed_sentence_hum,yes_no_hum	4	4	final_prompt_token,final_prompt_token_minus_1,final_prompt_token_minus_10,final_prompt_token_minus_5	22	0.21028875762766053	0.4263951480388641	-0.1367134235121987	17	13	4	5	17
24	732	0	1	e_to_ē	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_10	1	0.1791228055953979	0.1791228055953979	0.1791228055953979	1	0	1	0	1
25	741	1	2	e_to_ē,s_to_ş	2	2	2	2	original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_2	4	0.22003629803657532	0.2263081222772598	-0.22003629803657532	4	4	0	0	4
26	771	1	2	e_to_ē,s_to_ş	2	2	3	3	just_check_hum,paraphrase_hum,yes_no_hum	1	1	final_prompt_token_minus_10	6	0.31190982460975647	0.3361283838748932	-0.31190982460975647	6	6	0	0	6
27	799	1	2	e_to_ē,s_to_ş	2	2	3	3	just_check_hum,original_hum,removed_sentence_hum	3	2	final_prompt_token,final_prompt_token_minus_1,final_prompt_token_minus_2	13	0.31231780694081235	0.6679169535636902	0.030729986154116134	5	0	5	8	12
28	805	1	2	e_to_ē,s_to_ş	2	2	3	3	just_check_hum,original_hum,removed_sentence_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_5	5	0.31110467910766604	0.3397583961486816	-0.17520132064819335	5	4	1	0	5
29	808	0	1	s_to_ş	1	1	1	1	removed_sentence_hum	1	1	final_prompt_token_minus_10	1	0.146291434764862	0.146291434764862	0.146291434764862	1	0	1	0	1
30	856	0	1	e_to_ē	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_2	1	0.1384317725896835	0.1384317725896835	0.1384317725896835	1	0	1	0	1
31	892	1	2	e_to_ē,s_to_ş	2	2	3	3	original_hum,removed_sentence_hum,yes_no_hum	2	2	final_prompt_token_minus_1,final_prompt_token_minus_5	4	0.14262775331735605	0.2232536673545837	0.06058218330144881	3	1	2	1	3
32	912	0	2	e_to_ē,s_to_ş	2	2	1	1	just_check_hum	1	1	final_prompt_token_minus_10	2	0.4056170582771301	0.4056170582771301	-0.4056170582771301	2	2	0	0	2
33	914	0	1	s_to_ş	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_10	1	0.2148417979478836	0.2148417979478836	0.2148417979478836	1	0	1	0	1
34	923	0	1	e_to_ē	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_10	1	0.1525399684906005	0.1525399684906005	0.1525399684906005	1	0	1	0	1
35	979	0	2	e_to_ē,s_to_ş	2	2	1	1	yes_no_hum	1	1	final_prompt_token_minus_10	2	0.2128607183694839	0.2128607183694839	-0.2128607183694839	2	2	0	0	2
36	989	0	1	s_to_ş	1	1	1	1	original_hum	1	1	final_prompt_token_minus_10	1	0.1487128585577011	0.1487128585577011	0.1487128585577011	1	0	1	0	1
37	1049	0	1	s_to_ş	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_1	1	0.1592749059200287	0.1592749059200287	0.1592749059200287	1	0	1	0	1
38	1160	1	2	e_to_ē,s_to_ş	2	2	2	2	just_check_hum,yes_no_hum	3	3	final_prompt_token,final_prompt_token_minus_1,final_prompt_token_minus_2	6	0.13277172048886615	0.2228938341140747	0.02029991149902342	4	2	2	2	4
39	1167	0	2	e_to_ē,s_to_ş	0	0	1	0	paraphrase_hum	1	0	final_prompt_token_minus_1	2	0.09110738337039945	0.096021831035614	-0.09110738337039945	0	0	0	2	0
40	1205	1	2	e_to_ē,s_to_ş	2	2	2	2	original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_10	4	0.22109541296958918	0.2306975722312927	-0.22109541296958918	4	4	0	0	4
41	1206	1	2	e_to_ē,s_to_ş	2	2	3	3	just_check_hum,paraphrase_hum,yes_no_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_5	6	0.2684178551038106	0.3786318302154541	-0.0680576960245768	5	3	2	1	5
42	1238	0	1	e_to_ē	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_1	1	0.157937154173851	0.157937154173851	0.157937154173851	1	0	1	0	1
43	1242	0	1	e_to_ē	1	1	4	4	just_check_hum,original_hum,removed_sentence_hum,yes_no_hum	1	1	final_prompt_token	4	0.18076124042272565	0.2275518178939819	0.18076124042272565	4	0	4	0	4
44	1252	0	1	e_to_ē	1	1	1	1	just_check_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_2	2	0.14863532781600947	0.152394413948059	0.14863532781600947	2	0	2	0	2
45	1277	1	2	e_to_ē,s_to_ş	2	2	2	2	original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_5	4	0.16548305749893183	0.1740624755620956	-0.16548305749893183	4	4	0	0	4
46	1396	0	1	s_to_ş	1	1	2	2	original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_2	2	0.17797926813364023	0.1832343339920044	0.17797926813364023	2	0	2	0	2
47	1408	1	2	e_to_ē,s_to_ş	2	2	4	4	just_check_hum,original_hum,paraphrase_hum,removed_sentence_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_2	6	0.4921125570933024	0.5688717365264893	0.4921125570933024	6	0	6	0	6
48	1438	1	2	e_to_ē,s_to_ş	2	2	5	5	just_check_hum,original_hum,paraphrase_hum,removed_sentence_hum,yes_no_hum	4	4	final_prompt_token_minus_1,final_prompt_token_minus_10,final_prompt_token_minus_2,final_prompt_token_minus_5	7	0.1829580302749361	0.2213817983865738	0.1829580302749361	7	0	7	0	7
49	1464	0	2	e_to_ē,s_to_ş	1	1	3	3	original_hum,paraphrase_hum,removed_sentence_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_2	4	0.24230264127254486	0.4001563489437103	0.15646442770957947	3	1	2	1	3
50	1510	1	2	e_to_ē,s_to_ş	2	2	2	2	just_check_hum,paraphrase_hum	2	2	final_prompt_token_minus_1,final_prompt_token_minus_5	3	0.19200286765893296	0.2079192996025085	-0.08522286514441169	3	2	1	0	3
51	1551	0	1	e_to_ē	1	1	1	1	yes_no_hum	1	1	final_prompt_token_minus_1	1	0.1943762302398681	0.1943762302398681	0.1943762302398681	1	0	1	0	1
