condition_family	layer	feature_id	position_count_present	mean_activation_when_present	max_activation	best_rank	positions_present
ascii_control	14	31733	19	0.3058416819886157	0.900063693523407	1	generated_token_10,generated_token_11,generated_token_12,generated_token_13,generated_token_14,generated_token_15,generated_token_16,generated_token_17,generated_token_18,generated_token_2,generated_token_3,generated_token_32,generated_token_4,generated_token_5,generated_token_6,generated_token_64,generated_token_7,generated_token_8,generated_token_9
ascii_control	14	20557	16	0.14136768598109484	0.25524839758872986	5	final_prompt_token,generated_token_1,generated_token_10,generated_token_12,generated_token_13,generated_token_15,generated_token_16,generated_token_17,generated_token_18,generated_token_19,generated_token_20,generated_token_32,generated_token_5,generated_token_6,generated_token_7,generated_token_8
ascii_control	14	2961	15	0.7519959211349487	1.3088195323944092	1	final_prompt_token,generated_token_1,generated_token_11,generated_token_12,generated_token_13,generated_token_17,generated_token_18,generated_token_2,generated_token_20,generated_token_3,generated_token_32,generated_token_4,generated_token_5,generated_token_6,generated_token_9
ascii_control	14	24339	15	0.22946783204873403	0.3278975486755371	3	generated_token_10,generated_token_11,generated_token_12,generated_token_13,generated_token_14,generated_token_17,generated_token_18,generated_token_2,generated_token_3,generated_token_4,generated_token_5,generated_token_6,generated_token_7,generated_token_8,generated_token_9
ascii_control	14	13119	15	0.1703743984301885	0.26663124561309814	6	generated_token_10,generated_token_12,generated_token_13,generated_token_15,generated_token_16,generated_token_17,generated_token_18,generated_token_19,generated_token_32,generated_token_5,generated_token_6,generated_token_64,generated_token_7,generated_token_8,generated_token_96
ascii_control	14	31706	11	0.27468411421233957	0.8095666766166687	2	generated_token_10,generated_token_12,generated_token_14,generated_token_2,generated_token_3,generated_token_4,generated_token_5,generated_token_6,generated_token_64,generated_token_8,generated_token_9
ascii_control	14	20402	10	0.1467449352145195	0.25938114523887634	11	final_prompt_token,generated_token_1,generated_token_10,generated_token_13,generated_token_14,generated_token_2,generated_token_3,generated_token_5,generated_token_6,generated_token_8
ascii_control	14	14885	10	0.117011921107769	0.16505271196365356	16	final_prompt_token,generated_token_1,generated_token_11,generated_token_12,generated_token_13,generated_token_14,generated_token_17,generated_token_18,generated_token_9,generated_token_96
ascii_control	14	26050	10	0.11808158308267594	0.1617208868265152	20	final_prompt_token,generated_token_11,generated_token_12,generated_token_13,generated_token_15,generated_token_19,generated_token_3,generated_token_4,generated_token_6,generated_token_8
ascii_control	14	1271	9	0.21508549402157465	0.47409284114837646	2	generated_token_10,generated_token_12,generated_token_13,generated_token_17,generated_token_4,generated_token_5,generated_token_8,generated_token_9,generated_token_96
ascii_control	14	23673	9	0.2104609807332357	0.4130609631538391	4	generated_token_17,generated_token_18,generated_token_2,generated_token_3,generated_token_4,generated_token_5,generated_token_6,generated_token_8,generated_token_9
ascii_control	14	2021	9	0.18048105968369377	0.28468388319015503	6	generated_token_10,generated_token_11,generated_token_2,generated_token_3,generated_token_4,generated_token_5,generated_token_8,generated_token_9,generated_token_96
ascii_control	14	17275	8	0.14775260724127293	0.21489885449409485	11	final_prompt_token,generated_token_13,generated_token_16,generated_token_17,generated_token_18,generated_token_7,generated_token_8,generated_token_96
ascii_control	14	13131	7	0.1723723326410566	0.3670213520526886	5	generated_token_11,generated_token_12,generated_token_13,generated_token_3,generated_token_4,generated_token_5,generated_token_6
ascii_control	14	18996	7	0.18655459582805634	0.35321107506752014	7	generated_token_13,generated_token_14,generated_token_15,generated_token_16,generated_token_20,generated_token_7,generated_token_96
ascii_control	14	25809	7	0.15163625989641463	0.24334213137626648	8	generated_token_11,generated_token_12,generated_token_13,generated_token_2,generated_token_3,generated_token_4,generated_token_5
ascii_control	14	10344	6	0.28090796743830043	0.566632866859436	3	generated_token_11,generated_token_12,generated_token_13,generated_token_15,generated_token_17,generated_token_18
ascii_control	14	7898	6	0.20577295372883478	0.2874227464199066	4	generated_token_10,generated_token_11,generated_token_12,generated_token_13,generated_token_17,generated_token_3
ascii_control	14	13893	6	0.21315676222244898	0.2985740303993225	4	generated_token_15,generated_token_16,generated_token_18,generated_token_19,generated_token_20,generated_token_7
ascii_control	14	30528	6	0.23972848430275917	0.36098840832710266	6	generated_token_15,generated_token_16,generated_token_19,generated_token_20,generated_token_7,generated_token_96
ascii_control	14	978	6	0.16915163646141687	0.20258507132530212	10	generated_token_11,generated_token_12,generated_token_13,generated_token_15,generated_token_17,generated_token_7
ascii_control	14	11315	6	0.15555073072512945	0.2281595915555954	10	generated_token_13,generated_token_15,generated_token_16,generated_token_17,generated_token_6,generated_token_7
ascii_control	14	12701	6	0.12723141722381115	0.22016380727291107	20	generated_token_1,generated_token_13,generated_token_18,generated_token_7,generated_token_8,generated_token_9
ascii_control	14	22725	6	0.10254468768835068	0.16206710040569305	30	generated_token_1,generated_token_10,generated_token_13,generated_token_14,generated_token_2,generated_token_64
ascii_control	14	5329	5	0.39040627479553225	0.49645423889160156	2	generated_token_1,generated_token_2,generated_token_4,generated_token_5,generated_token_9
ascii_control	14	24731	5	0.34397674798965455	0.4512695372104645	2	generated_token_15,generated_token_16,generated_token_19,generated_token_20,generated_token_7
ascii_control	14	15102	5	0.2195720463991165	0.34686049818992615	4	generated_token_15,generated_token_16,generated_token_18,generated_token_6,generated_token_7
ascii_control	14	2228	5	0.22126412391662598	0.3941664397716522	5	generated_token_15,generated_token_16,generated_token_17,generated_token_6,generated_token_7
ascii_control	14	10804	5	0.197186416387558	0.2531372308731079	5	generated_token_2,generated_token_3,generated_token_4,generated_token_5,generated_token_9
ascii_control	14	2188	5	0.14962744116783142	0.25097817182540894	6	generated_token_10,generated_token_11,generated_token_12,generated_token_13,generated_token_9
ascii_control	14	32065	5	0.2112978994846344	0.29558247327804565	7	generated_token_2,generated_token_3,generated_token_4,generated_token_5,generated_token_8
ascii_control	14	16801	5	0.14980012997984887	0.22186994552612305	9	final_prompt_token,generated_token_1,generated_token_2,generated_token_3,generated_token_4
ascii_control	14	31274	5	0.18832560777664184	0.2213039994239807	10	generated_token_15,generated_token_16,generated_token_17,generated_token_19,generated_token_20
ascii_control	14	7801	5	0.10457833558320999	0.12647581100463867	13	generated_token_10,generated_token_2,generated_token_3,generated_token_4,generated_token_9
ascii_control	14	6482	5	0.12250821590423584	0.14315369725227356	16	generated_token_11,generated_token_12,generated_token_3,generated_token_4,generated_token_6
ascii_control	14	31908	5	0.09835915565490723	0.12591153383255005	16	generated_token_1,generated_token_2,generated_token_3,generated_token_4,generated_token_9
ascii_control	14	11914	5	0.11569957435131073	0.1743360459804535	20	generated_token_3,generated_token_4,generated_token_5,generated_token_8,generated_token_9
ascii_control	14	13325	4	0.4363047834485769	0.6678581237792969	1	generated_token_13,generated_token_14,generated_token_5,generated_token_6
ascii_control	14	24142	4	0.5804389119148254	0.7591938972473145	1	generated_token_10,generated_token_14,generated_token_64,generated_token_7
ascii_control	14	31105	4	0.2972525954246521	0.3955603539943695	3	generated_token_11,generated_token_12,generated_token_3,generated_token_4
ascii_control	14	7998	4	0.2150243129581213	0.313093900680542	5	generated_token_13,generated_token_14,generated_token_5,generated_token_6
ascii_control	14	13692	4	0.20028972625732422	0.24454082548618317	5	generated_token_15,generated_token_17,generated_token_18,generated_token_20
ascii_control	14	19190	4	0.1633334755897522	0.23228925466537476	6	generated_token_10,generated_token_14,generated_token_5,generated_token_8
ascii_control	14	29787	4	0.1835765354335308	0.2814270257949829	9	generated_token_10,generated_token_2,generated_token_4,generated_token_5
ascii_control	14	2068	4	0.16280603408813477	0.20377205312252045	10	generated_token_11,generated_token_12,generated_token_13,generated_token_9
ascii_control	14	23493	4	0.14650296606123447	0.2133469134569168	12	generated_token_10,generated_token_14,generated_token_16,generated_token_64
ascii_control	14	19114	4	0.17285230569541454	0.29651376605033875	13	generated_token_16,generated_token_7,generated_token_8,generated_token_96
