family	variant	layer	position_label	token_position	token_id	token_string	finite	positive_count_after_relu	top_activation
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	True	719	0.7091057896614075
hum_processing	ascii_baseline	15	final_prompt_token	48	13	.	True	846	0.5021997094154358
hum_processing	ascii_baseline	16	final_prompt_token	48	13	.	True	800	0.7266232967376709
hum_processing	ascii_baseline	24	final_prompt_token	48	13	.	True	839	1.0052545070648193
hum_processing	ascii_baseline	25	final_prompt_token	48	13	.	True	735	1.0110377073287964
hum_processing	ascii_baseline	26	final_prompt_token	48	13	.	True	753	1.0604360103607178
hum_processing	ascii_baseline	14	generated_token_1	49	271	"

"	True	670	1.2512887716293335
hum_processing	ascii_baseline	15	generated_token_1	49	271	"

"	True	1019	1.4737001657485962
hum_processing	ascii_baseline	16	generated_token_1	49	271	"

"	True	751	1.4877992868423462
hum_processing	ascii_baseline	24	generated_token_1	49	271	"

"	True	869	1.6942294836044312
hum_processing	ascii_baseline	25	generated_token_1	49	271	"

"	True	729	1.7826074361801147
hum_processing	ascii_baseline	26	generated_token_1	49	271	"

"	True	785	2.5201334953308105
hum_processing	ascii_baseline	14	generated_token_8	56	264	 a	True	588	0.37090864777565
hum_processing	ascii_baseline	15	generated_token_8	56	264	 a	True	682	0.3816222846508026
hum_processing	ascii_baseline	16	generated_token_8	56	264	 a	True	750	0.3776443600654602
hum_processing	ascii_baseline	24	generated_token_8	56	264	 a	True	765	0.5658459663391113
hum_processing	ascii_baseline	25	generated_token_8	56	264	 a	True	799	0.5618873238563538
hum_processing	ascii_baseline	26	generated_token_8	56	264	 a	True	704	0.5947411060333252
hum_processing	ascii_baseline	14	generated_token_16	64	264	 a	True	553	0.5780940055847168
hum_processing	ascii_baseline	15	generated_token_16	64	264	 a	True	747	0.5976347923278809
hum_processing	ascii_baseline	16	generated_token_16	64	264	 a	True	819	0.6284960508346558
hum_processing	ascii_baseline	24	generated_token_16	64	264	 a	True	736	1.20210599899292
hum_processing	ascii_baseline	25	generated_token_16	64	264	 a	True	798	1.2961361408233643
hum_processing	ascii_baseline	26	generated_token_16	64	264	 a	True	675	1.3139337301254272
hum_processing	ascii_baseline	14	generated_token_32	80	7099	 surface	True	649	0.8765326142311096
hum_processing	ascii_baseline	15	generated_token_32	80	7099	 surface	True	702	0.9492015838623047
hum_processing	ascii_baseline	16	generated_token_32	80	7099	 surface	True	720	0.9480616450309753
hum_processing	ascii_baseline	24	generated_token_32	80	7099	 surface	True	776	1.3599092960357666
hum_processing	ascii_baseline	25	generated_token_32	80	7099	 surface	True	771	1.3555119037628174
hum_processing	ascii_baseline	26	generated_token_32	80	7099	 surface	True	758	1.2489843368530273
hum_processing	ascii_baseline	14	generated_token_64	112	3870	 background	True	495	1.0180189609527588
hum_processing	ascii_baseline	15	generated_token_64	112	3870	 background	True	583	1.5451858043670654
hum_processing	ascii_baseline	16	generated_token_64	112	3870	 background	True	622	1.4894951581954956
hum_processing	ascii_baseline	24	generated_token_64	112	3870	 background	True	632	2.1548104286193848
hum_processing	ascii_baseline	25	generated_token_64	112	3870	 background	True	739	2.1222269535064697
hum_processing	ascii_baseline	26	generated_token_64	112	3870	 background	True	630	2.1431632041931152
hum_processing	light_global_mixed	14	final_prompt_token	77	13	.	True	660	0.48651063442230225
hum_processing	light_global_mixed	15	final_prompt_token	77	13	.	True	797	0.7594733834266663
hum_processing	light_global_mixed	16	final_prompt_token	77	13	.	True	839	0.9562832117080688
hum_processing	light_global_mixed	24	final_prompt_token	77	13	.	True	885	0.8206971883773804
hum_processing	light_global_mixed	25	final_prompt_token	77	13	.	True	777	0.8081270456314087
hum_processing	light_global_mixed	26	final_prompt_token	77	13	.	True	806	1.5353984832763672
hum_processing	light_global_mixed	14	generated_token_1	78	271	"

"	True	449	0.6058763265609741
hum_processing	light_global_mixed	15	generated_token_1	78	271	"

"	True	649	1.0764012336730957
hum_processing	light_global_mixed	16	generated_token_1	78	271	"

"	True	685	0.9854398369789124
hum_processing	light_global_mixed	24	generated_token_1	78	271	"

"	True	839	1.3729380369186401
hum_processing	light_global_mixed	25	generated_token_1	78	271	"

"	True	632	1.3740397691726685
hum_processing	light_global_mixed	26	generated_token_1	78	271	"

"	True	643	1.9190746545791626
hum_processing	light_global_mixed	14	generated_token_8	85	264	 a	True	626	0.40098512172698975
hum_processing	light_global_mixed	15	generated_token_8	85	264	 a	True	794	0.39698049426078796
hum_processing	light_global_mixed	16	generated_token_8	85	264	 a	True	821	0.45469003915786743
hum_processing	light_global_mixed	24	generated_token_8	85	264	 a	True	826	0.5762991309165955
hum_processing	light_global_mixed	25	generated_token_8	85	264	 a	True	737	0.6285478472709656
hum_processing	light_global_mixed	26	generated_token_8	85	264	 a	True	750	0.6403025984764099
hum_processing	light_global_mixed	14	generated_token_16	93	314	 of	True	519	0.35689643025398254
hum_processing	light_global_mixed	15	generated_token_16	93	314	 of	True	666	0.3866398334503174
hum_processing	light_global_mixed	16	generated_token_16	93	314	 of	True	812	0.44965803623199463
hum_processing	light_global_mixed	24	generated_token_16	93	314	 of	True	632	0.8201788067817688
hum_processing	light_global_mixed	25	generated_token_16	93	314	 of	True	665	0.8684202432632446
hum_processing	light_global_mixed	26	generated_token_16	93	314	 of	True	639	0.682367205619812
hum_processing	light_global_mixed	14	generated_token_32	109	303	 in	True	608	0.6536006927490234
hum_processing	light_global_mixed	15	generated_token_32	109	303	 in	True	794	0.6549525260925293
hum_processing	light_global_mixed	16	generated_token_32	109	303	 in	True	862	0.7542692422866821
hum_processing	light_global_mixed	24	generated_token_32	109	303	 in	True	709	1.286607027053833
hum_processing	light_global_mixed	25	generated_token_32	109	303	 in	True	766	1.2573356628417969
hum_processing	light_global_mixed	26	generated_token_32	109	303	 in	True	660	1.1054227352142334
hum_processing	light_global_mixed	14	generated_token_64	141	279	 the	True	490	0.5705445408821106
hum_processing	light_global_mixed	15	generated_token_64	141	279	 the	True	587	0.5742265582084656
hum_processing	light_global_mixed	16	generated_token_64	141	279	 the	True	590	0.5911273956298828
hum_processing	light_global_mixed	24	generated_token_64	141	279	 the	True	589	1.2226065397262573
hum_processing	light_global_mixed	25	generated_token_64	141	279	 the	True	617	1.3454947471618652
hum_processing	light_global_mixed	26	generated_token_64	141	279	 the	True	552	1.2677608728408813
hum_processing	light_high_impact_mixed	14	final_prompt_token	112	13	.	True	664	0.5365338325500488
hum_processing	light_high_impact_mixed	15	final_prompt_token	112	13	.	True	764	0.7238584756851196
hum_processing	light_high_impact_mixed	16	final_prompt_token	112	13	.	True	737	0.79774010181427
hum_processing	light_high_impact_mixed	24	final_prompt_token	112	13	.	True	815	0.8730713129043579
hum_processing	light_high_impact_mixed	25	final_prompt_token	112	13	.	True	783	0.8752979040145874
hum_processing	light_high_impact_mixed	26	final_prompt_token	112	13	.	True	762	1.3508751392364502
hum_processing	light_high_impact_mixed	14	generated_token_1	113	271	"

"	True	468	0.722480058670044
hum_processing	light_high_impact_mixed	15	generated_token_1	113	271	"

"	True	730	1.033710241317749
hum_processing	light_high_impact_mixed	16	generated_token_1	113	271	"

"	True	741	0.9621649384498596
hum_processing	light_high_impact_mixed	24	generated_token_1	113	271	"

"	True	840	1.341050624847412
hum_processing	light_high_impact_mixed	25	generated_token_1	113	271	"

"	True	643	1.3855950832366943
hum_processing	light_high_impact_mixed	26	generated_token_1	113	271	"

"	True	667	1.885764718055725
hum_processing	light_high_impact_mixed	14	generated_token_8	120	264	 a	True	719	0.41440263390541077
hum_processing	light_high_impact_mixed	15	generated_token_8	120	264	 a	True	767	0.43025144934654236
hum_processing	light_high_impact_mixed	16	generated_token_8	120	264	 a	True	851	0.4047704041004181
hum_processing	light_high_impact_mixed	24	generated_token_8	120	264	 a	True	735	0.7561957836151123
hum_processing	light_high_impact_mixed	25	generated_token_8	120	264	 a	True	723	0.8103497624397278
hum_processing	light_high_impact_mixed	26	generated_token_8	120	264	 a	True	742	0.7973271608352661
hum_processing	light_high_impact_mixed	14	generated_token_16	128	6775	 nature	True	376	1.417414903640747
hum_processing	light_high_impact_mixed	15	generated_token_16	128	6775	 nature	True	492	1.4045252799987793
hum_processing	light_high_impact_mixed	16	generated_token_16	128	6775	 nature	True	499	1.0956193208694458
hum_processing	light_high_impact_mixed	24	generated_token_16	128	6775	 nature	True	595	1.974807620048523
hum_processing	light_high_impact_mixed	25	generated_token_16	128	6775	 nature	True	593	1.9844064712524414
hum_processing	light_high_impact_mixed	26	generated_token_16	128	6775	 nature	True	490	1.9435815811157227
hum_processing	light_high_impact_mixed	14	generated_token_32	144	279	 the	True	808	0.5147796869277954
hum_processing	light_high_impact_mixed	15	generated_token_32	144	279	 the	True	1005	0.5360551476478577
hum_processing	light_high_impact_mixed	16	generated_token_32	144	279	 the	True	986	0.6475142240524292
hum_processing	light_high_impact_mixed	24	generated_token_32	144	279	 the	True	890	0.926120936870575
hum_processing	light_high_impact_mixed	25	generated_token_32	144	279	 the	True	1010	0.9664930105209351
hum_processing	light_high_impact_mixed	26	generated_token_32	144	279	 the	True	835	0.9416471719741821
hum_processing	light_high_impact_mixed	14	generated_token_64	176	51179	 substrate	True	522	0.9930363893508911
hum_processing	light_high_impact_mixed	15	generated_token_64	176	51179	 substrate	True	622	1.082361102104187
hum_processing	light_high_impact_mixed	16	generated_token_64	176	51179	 substrate	True	682	0.9588543772697449
hum_processing	light_high_impact_mixed	24	generated_token_64	176	51179	 substrate	True	862	1.3742856979370117
