run_id	matrix	pass_id	run_order_policy	order_index	family	variant	decode_mode	do_sample	seed	temperature	top_p	top_k	prompt_raw_sha256
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	original_order	1	hum_processing	ascii_baseline	greedy	False	0				e5f3751cad59d5ab647a71b925a9d147c1f8b9c5baf79635e32407271a05a43b
det_pass_01_original_order::002::hum_processing::light_global_mixed	canonical_deterministic_replication	det_pass_01_original_order	original_order	2	hum_processing	light_global_mixed	greedy	False	0				c080d0c38a4f65d21e40d9eb4d66776898e927dadb77a211fe5e16cb38ea55d6
det_pass_01_original_order::003::hum_processing::light_high_impact_mixed	canonical_deterministic_replication	det_pass_01_original_order	original_order	3	hum_processing	light_high_impact_mixed	greedy	False	0				ce10904db333fee6a649a443e778bad3d2e701c217a8e251b5f05e9b066eddcc
det_pass_01_original_order::004::hum_processing::dcedilla_shuffled_light	canonical_deterministic_replication	det_pass_01_original_order	original_order	4	hum_processing	dcedilla_shuffled_light	greedy	False	0				75cbd390eafd4b0a787b6f50a82b3617b3217daaa162084cad4d63dbea1c47e1
det_pass_01_original_order::005::hum_processing::dcedilla_high_impact	canonical_deterministic_replication	det_pass_01_original_order	original_order	5	hum_processing	dcedilla_high_impact	greedy	False	0				6adf51ae6ddf2b29c7abfd2a4dda84e233f19f36fefb647b9034e6649ce1ec8d
det_pass_01_original_order::006::hum_processing::dense_global_mixed	canonical_deterministic_replication	det_pass_01_original_order	original_order	6	hum_processing	dense_global_mixed	greedy	False	0				16cb0be8a5a06243ef62676cb13fe873f645c8102352a4039bd831eac026275f
det_pass_01_original_order::007::hum_processing::dense_dcedilla_all	canonical_deterministic_replication	det_pass_01_original_order	original_order	7	hum_processing	dense_dcedilla_all	greedy	False	0				7f1f4b79cd60f441f7e0f8a1efbbc055961af0b1e4c1814d216629dafcfc85ef
det_pass_01_original_order::008::hum_processing::token_count_matched_ascii_noise	canonical_deterministic_replication	det_pass_01_original_order	original_order	8	hum_processing	token_count_matched_ascii_noise	greedy	False	0				ab8600754f39b2b15de61cf444bdf0360ded8d0266b44b25e0a3acdbab8e055a
det_pass_01_original_order::009::hum_processing::visual_ascii_control	canonical_deterministic_replication	det_pass_01_original_order	original_order	9	hum_processing	visual_ascii_control	greedy	False	0				afce4225ba2256687ea85196e7993551496a6210435513f9a3aa4446f8435074
det_pass_01_original_order::010::hum_processing::unicode_nonletter_control	canonical_deterministic_replication	det_pass_01_original_order	original_order	10	hum_processing	unicode_nonletter_control	greedy	False	0				1c81834640c45ae135a31cc55b9d4f2b483bd7dbe5e17ca702b96f72049020ef
