priority_rank	layer	feature_id	normal_activation	dstroke_activation	delta	abs_delta	normal_rank	dstroke_rank	pattern_type	why_prioritize	recommended_next_probe
1	26	23977	0.19217467308044434	0	-0.19217467308044434	0.19217467308044434	30		normal_only	Feature appears only in normal TopK-50; abs_delta=0.192175.	Collect high-activation examples for this feature in normal prompts and matched d-stroke controls.
2	26	2722	0.183280348777771	0	-0.183280348777771	0.183280348777771	35		normal_only	Feature appears only in normal TopK-50; abs_delta=0.18328.	Collect high-activation examples for this feature in normal prompts and matched d-stroke controls.
3	26	9745	0.17381246387958527	0	-0.17381246387958527	0.17381246387958527	41		normal_only	Feature appears only in normal TopK-50; abs_delta=0.173812.	Collect high-activation examples for this feature in normal prompts and matched d-stroke controls.
4	26	7108	0.17277000844478607	0	-0.17277000844478607	0.17277000844478607	43		normal_only	Feature appears only in normal TopK-50; abs_delta=0.17277.	Collect high-activation examples for this feature in normal prompts and matched d-stroke controls.
5	26	31784	0	0.17004404962062836	0.17004404962062836	0.17004404962062836		40	dstroke_only	Feature appears only in d-stroke TopK-50; abs_delta=0.170044.	Collect high-activation examples for this feature in d-stroke prompts and matched normal controls.
6	14	30172	0.12711578607559204	0	-0.12711578607559204	0.12711578607559204	39		normal_only	Feature appears only in normal TopK-50; abs_delta=0.127116.	Collect high-activation examples for this feature in normal prompts and matched d-stroke controls.
7	14	12433	0.11901742219924927	0	-0.11901742219924927	0.11901742219924927	46		normal_only	Feature appears only in normal TopK-50; abs_delta=0.119017.	Collect high-activation examples for this feature in normal prompts and matched d-stroke controls.
8	14	3291	0	0.1183885857462883	0.1183885857462883	0.1183885857462883		41	dstroke_only	Feature appears only in d-stroke TopK-50; abs_delta=0.118389.	Collect high-activation examples for this feature in d-stroke prompts and matched normal controls.
9	14	28025	0.11595268547534943	0	-0.11595268547534943	0.11595268547534943	47		normal_only	Feature appears only in normal TopK-50; abs_delta=0.115953.	Collect high-activation examples for this feature in normal prompts and matched d-stroke controls.
10	14	9030	0.13733050227165222	0.10959064960479736	-0.027739852666854858	0.027739852666854858	29	47	both_shifted	Feature appears in both TopK-50 but shifts between conditions; abs_delta=0.0277399; rank_shift=18.	Collect paired high-activation examples from both conditions to check whether the shift repeats.
