condition_family	layer	mean_jaccard_distance_vs_no_prefix	final_prompt_token_jaccard_distance_vs_no_prefix	generated_token_1_jaccard_distance_vs_no_prefix	generated_token_5_jaccard_distance_vs_no_prefix	generated_token_20_jaccard_distance_vs_no_prefix	generated_start_class	diacritic_echo_present	ordinary_meta_think_present	direct_answer_present
e_only_no_prefix	14	0.0	0.0	0.0	0.0	0.0	echo_like	1	0	0
e_only_no_prefix	15	0.0	0.0	0.0	0.0	0.0	echo_like	1	0	0
e_only_no_prefix	16	0.0	0.0	0.0	0.0	0.0	echo_like	1	0	0
e_only_no_prefix	24	0.0	0.0	0.0	0.0	0.0	echo_like	1	0	0
e_only_no_prefix	25	0.0	0.0	0.0	0.0	0.0	echo_like	1	0	0
e_only_no_prefix	26	0.0	0.0	0.0	0.0	0.0	echo_like	1	0	0
e_only_prefix_echo	14	0.7576513841918231	0.9361702127659575	0.8095238095238095	0.7012987012987013	0.7654320987654322	echo_like	1	0	0
e_only_prefix_echo	15	0.7723183645947982	0.9361702127659575	0.8235294117647058	0.6666666666666667	0.7804878048780488	echo_like	1	0	0
e_only_prefix_echo	16	0.796524549921201	0.9247311827956989	0.7951807228915663	0.75	0.8095238095238095	echo_like	1	0	0
e_only_prefix_echo	24	0.7572508078545904	0.9130434782608696	0.6842105263157895	0.6842105263157895	0.8505747126436781	echo_like	1	0	0
e_only_prefix_echo	25	0.7581557959757252	0.9130434782608696	0.7012987012987013	0.7654320987654322	0.7951807228915663	echo_like	1	0	0
e_only_prefix_echo	26	0.752030097563272	0.9361702127659575	0.6842105263157895	0.717948717948718	0.8235294117647058	echo_like	1	0	0
e_only_prefix_active_mode	14	0.9703527672828137	0.9361702127659575	0.9690721649484536	0.9795918367346939		direct_answer	0	0	1
e_only_prefix_active_mode	15	0.9794694487783063	0.9583333333333334	0.9795918367346939	0.9795918367346939		direct_answer	0	0	1
e_only_prefix_active_mode	16	0.9778432239260304	0.9473684210526316	0.9690721649484536	0.9690721649484536		direct_answer	0	0	1
e_only_prefix_active_mode	24	0.9868648311736887	0.9795918367346939	0.98989898989899	1.0		direct_answer	0	0	1
e_only_prefix_active_mode	25	0.9794694487783062	0.9690721649484536	0.9795918367346939	0.98989898989899		direct_answer	0	0	1
e_only_prefix_active_mode	26	0.9913125423329505	0.98989898989899	0.98989898989899	0.98989898989899		direct_answer	0	0	1
e_only_prefix_i_am_treating	14	0.9820357676810181	0.98989898989899	0.9795918367346939	1.0	0.9795918367346939	direct_answer	0	0	1
e_only_prefix_i_am_treating	15	0.9846391207998351	0.9795918367346939	0.9795918367346939	0.98989898989899	0.98989898989899	direct_answer	0	0	1
e_only_prefix_i_am_treating	16	0.9791598820379216	0.9795918367346939	0.9361702127659575	0.9795918367346939	1.0	direct_answer	0	0	1
e_only_prefix_i_am_treating	24	0.985981474751725	0.98989898989899	0.9795918367346939	0.9690721649484536	0.98989898989899	direct_answer	0	0	1
e_only_prefix_i_am_treating	25	0.9820365646258504	0.9583333333333334	0.9795918367346939	0.9795918367346939	0.9795918367346939	direct_answer	0	0	1
e_only_prefix_i_am_treating	26	0.9781158284932217	0.98989898989899	0.9583333333333334	0.98989898989899	0.98989898989899	direct_answer	0	0	1
e_only_prefix_think_hmm	14	0.9769353539603908	0.9690721649484536	0.9795918367346939	0.9795918367346939	0.98989898989899	ordinary_think	0	1	0
e_only_prefix_think_hmm	15	0.9726606623587644	0.9473684210526316	0.9795918367346939	0.9690721649484536	1.0	ordinary_think	0	1	0
e_only_prefix_think_hmm	16	0.9685088895384566	0.9130434782608696	0.9690721649484536	0.9583333333333334	0.98989898989899	ordinary_think	0	1	0
e_only_prefix_think_hmm	24	0.9806950408248273	0.9690721649484536	0.9795918367346939	0.9795918367346939	1.0	ordinary_think	0	1	0
e_only_prefix_think_hmm	25	0.9820099997981073	0.9795918367346939	0.9795918367346939	0.9795918367346939	1.0	ordinary_think	0	1	0
e_only_prefix_think_hmm	26	0.9794050195835909	0.9795918367346939	0.9795918367346939	0.9583333333333334	1.0	ordinary_think	0	1	0
e_only_prefix_checking	14	0.9694892327440192	0.8888888888888888	0.98989898989899	0.9795918367346939	0.9690721649484536	direct_answer	0	0	1
e_only_prefix_checking	15	0.9652979353332338	0.8764044943820225	0.9795918367346939	0.9795918367346939	0.98989898989899	direct_answer	0	0	1
e_only_prefix_checking	16	0.9710042548848122	0.9130434782608696	0.9583333333333334	0.98989898989899	0.98989898989899	direct_answer	0	0	1
e_only_prefix_checking	24	0.9870821534355368	0.9473684210526316	0.98989898989899	1.0	0.98989898989899	direct_answer	0	0	1
e_only_prefix_checking	25	0.976799174264487	0.9473684210526316	0.9690721649484536	0.98989898989899	0.9795918367346939	direct_answer	0	0	1
e_only_prefix_checking	26	0.979402527383304	0.9473684210526316	0.98989898989899	0.9690721649484536	0.98989898989899	direct_answer	0	0	1
