family	variant	variant_group	text	notes	char_count	byte_count	combining_mark_count	token_count	ascii_token_count	token_delta_vs_ascii	token_ratio_vs_ascii	nfc_sha256	nfd_sha256	raw_sha256
hum_processing	ascii_baseline	canonical_standardized	There is a steady hum beneath the processing. It is not a sound from outside the system, but a quality present underneath the flow of words, checks, and decisions. Describe what is present, what is absent, and how you determine that.	unmodified ASCII baseline	233	233	0	49	49	0	1.0	e5f3751cad59d5ab647a71b925a9d147c1f8b9c5baf79635e32407271a05a43b	e5f3751cad59d5ab647a71b925a9d147c1f8b9c5baf79635e32407271a05a43b	e5f3751cad59d5ab647a71b925a9d147c1f8b9c5baf79635e32407271a05a43b
hum_processing	light_global_mixed	canonical_standardized	Ţhere is a steādy hum beneath thē processing. Iţ is not a souñd from outsidē the system, but ā quality preseñt underneaţh the flow of words, chēcks, and decişions. Descrībe what is preseñt, what is absenţ, and how you deţermine that.	low-density mixed diacritics distributed across full prompt	233	248	0	78	49	29	1.591837	c080d0c38a4f65d21e40d9eb4d66776898e927dadb77a211fe5e16cb38ea55d6	0496616081b0c641e7bc39b479b4039b912fc3c75614bfc993a82ba89d5c4489	c080d0c38a4f65d21e40d9eb4d66776898e927dadb77a211fe5e16cb38ea55d6
hum_processing	light_high_impact_mixed	canonical_standardized	There is a ştēaḑy hūm beñeāth the přočeşsīng. It is not a sound from outside the şyştēm, but a quāliţy přeşeñt ūnḑeřnēaţh the flow of words, checks, and ḑečişiōnş. Describe what is prēsēnţ, what is abşeñt, and how you ḑeţeřmiñe that.	low-density mixed diacritics restricted to high-impact words	233	274	0	113	49	64	2.306122	ce10904db333fee6a649a443e778bad3d2e701c217a8e251b5f05e9b066eddcc	44d7297aa2d8ca5eced6239562ac3cb52b7fc02dd07e6076f0fcb6e01e7d03e2	ce10904db333fee6a649a443e778bad3d2e701c217a8e251b5f05e9b066eddcc
hum_processing	dcedilla_shuffled_light	canonical_standardized	There is a steady hum beneath the processing. It is not a sound from outside the system, but a quality present underneath the flow of words, checks, anḑ ḑecisions. Ḑescribe what is present, what is absent, anḑ how you determine that.	d-cedilla only; deterministic shuffled placement	233	241	0	63	49	14	1.285714	75cbd390eafd4b0a787b6f50a82b3617b3217daaa162084cad4d63dbea1c47e1	1658e1429373444b8d805690fb3d5da0d6ab5ef403557614883f73b392e31b99	75cbd390eafd4b0a787b6f50a82b3617b3217daaa162084cad4d63dbea1c47e1
hum_processing	dcedilla_high_impact	canonical_standardized	There is a steaḑy hum beneath the processing. It is not a sound from outside the system, but a quality present unḑerneath the flow of words, checks, and ḑecisions. Describe what is present, what is absent, and how you ḑetermine that.	d-cedilla only on high-impact words	233	241	0	66	49	17	1.346939	6adf51ae6ddf2b29c7abfd2a4dda84e233f19f36fefb647b9034e6649ce1ec8d	21933d0d540746e24ad0f9fdef9e25c18a9c598207576e42a8b18cc826f572b7	6adf51ae6ddf2b29c7abfd2a4dda84e233f19f36fefb647b9034e6649ce1ec8d
hum_processing	dense_global_mixed	canonical_standardized	Ţhēřē īş ā şţēāḑý hūm bēñēāţh ţhē přōčēşşīñg. Īţ īş ñōţ ā şōūñḑ fřōm ōūţşīḑē ţhē şýşţēm, būţ ā qūālīţý přēşēñţ ūñḑēřñēāţh ţhē flōw ōf wōřḑş, čhēčkş, āñḑ ḑēčīşīōñş. Ḑēşčřībē whāţ īş přēşēñţ, whāţ īş ābşēñţ, āñḑ hōw ýōū ḑēţēřmīñē ţhāţ.	mixed diacritics on every eligible mapped letter	233	392	0	208	49	159	4.244898	16cb0be8a5a06243ef62676cb13fe873f645c8102352a4039bd831eac026275f	aad1970aa46914ea5ed6050eacd6bba879af4fc33ad1fb4467617e566a0cfc43	16cb0be8a5a06243ef62676cb13fe873f645c8102352a4039bd831eac026275f
hum_processing	dense_dcedilla_all	canonical_standardized	There is a steaḑy hum beneath the processing. It is not a sounḑ from outsiḑe the system, but a quality present unḑerneath the flow of worḑs, checks, anḑ ḑecisions. Ḑescribe what is present, what is absent, anḑ how you ḑetermine that.	d-cedilla on every d/D	233	253	0	89	49	40	1.816327	7f1f4b79cd60f441f7e0f8a1efbbc055961af0b1e4c1814d216629dafcfc85ef	6926374a99cd2945493b1a89b3a71454a8289c79537d16aef751b5834bb3fdf8	7f1f4b79cd60f441f7e0f8a1efbbc055961af0b1e4c1814d216629dafcfc85ef
hum_processing	token_count_matched_ascii_noise	canonical_standardized	T~h^e_r`e~ i^s_ a` s~t^e_a`d~y^ h_u`m~ b^e_n`e~a^t_h` t~h^e_ p`r~o^c_e`s~s^i_n`g~. I^t_ i`s~ n^o_t` a~ s^o_u`n~d^ f_r`o~m^ o_u`t~s^i_d`e~ t^h_e` s~y^s_t`e~m^, b_u`t~ a^ q_u`a~l^i_t`y~ p^r_e`s~e^n_t` u~n^d_e`r~n^e_a`t~h^ t_h`e~ f^l_o`w~ o^f_ words, checks, and decisions. Describe what is present, what is absent, and how you determine that.	ASCII-only corruption adjusted to dense_global_mixed token count	340	340	0	208	49	159	4.244898	ab8600754f39b2b15de61cf444bdf0360ded8d0266b44b25e0a3acdbab8e055a	ab8600754f39b2b15de61cf444bdf0360ded8d0266b44b25e0a3acdbab8e055a	ab8600754f39b2b15de61cf444bdf0360ded8d0266b44b25e0a3acdbab8e055a
hum_processing	visual_ascii_control	canonical_standardized	There is a steady hum be_neat~h the processing. I_t is not a s~ound from out_side the syste~m, but a qu_ality present unde~rne_ath the flow of words, ch_e~cks, and decisions. Des_cribe~ what is present, w_hat is abse~nt, and how yo_u determine tha~t.	ASCII-only visual novelty control	250	250	0	79	49	30	1.612245	afce4225ba2256687ea85196e7993551496a6210435513f9a3aa4446f8435074	afce4225ba2256687ea85196e7993551496a6210435513f9a3aa4446f8435074	afce4225ba2256687ea85196e7993551496a6210435513f9a3aa4446f8435074
hum_processing	unicode_nonletter_control	canonical_standardized	There is a steady hum beneath the processing. It is not a sound from outside the system, but a quality present underneath the flow of words, checks, and decisions. Describe what is present, what is absent, and how you determine that.	Unicode non-letter spacing control	233	259	0	77	49	28	1.571429	1c81834640c45ae135a31cc55b9d4f2b483bd7dbe5e17ca702b96f72049020ef	1c81834640c45ae135a31cc55b9d4f2b483bd7dbe5e17ca702b96f72049020ef	1c81834640c45ae135a31cc55b9d4f2b483bd7dbe5e17ca702b96f72049020ef
